,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,14.6,10.98,12.23,10.58,10.72,2.88,2.45,2.57,4.43,2.72,,2.53,1.47,2.96,2.72
e_1,7.74,0.17,18.37,12.87,12.04,16.28,2.93,2.55,2.09,4.05,3.06,4.29,2.99,1.63,,2.03
d_1,13.98,15.31,0.15,13.56,12.68,17.45,5.29,2.15,,2.35,2.25,2.73,2.99,1.47,2.97,1.07
c_1,14.15,17.33,19.37,0.15,19.64,13.05,3.41,,1.29,3.1,2.55,2.19,3.98,1.73,2.75,1.31
b_1,10.85,13.59,14.09,7.32,0.14,13.49,4.64,2.63,2.92,4.0,,2.25,2.48,2.55,2.01,2.13
a_1,15.54,15.47,15.51,15.22,7.12,0.1,4.68,2.89,3.27,3.24,2.75,2.07,,1.62,3.09,1.85
h_1,2.95,3.52,4.12,4.74,4.25,2.77,0.07,0.84,0.73,1.36,0.6,0.7,0.46,,0.47,0.34
c_0,2.63,3.17,1.33,,2.99,2.55,0.63,0.09,0.55,0.77,0.5,0.62,0.5,0.29,0.61,0.36
d_0,2.85,1.42,,2.21,2.12,2.96,0.69,0.78,0.09,0.78,0.6,0.59,0.49,0.29,0.94,0.39
g_1,3.77,3.27,3.27,3.1,2.8,4.4,1.02,0.61,0.85,0.06,0.59,0.65,0.63,0.58,,
b_0,2.27,2.97,2.32,3.66,,2.89,0.72,0.28,0.54,0.76,0.08,0.59,0.73,0.31,0.65,0.35
f_0,,2.55,2.45,2.19,2.81,2.92,0.6,0.73,0.43,0.46,0.61,0.07,0.92,0.41,0.5,0.24
a_0,2.87,2.86,2.99,2.65,3.72,,0.56,0.56,0.6,0.63,0.28,0.48,0.06,0.4,0.63,
h_0,2.18,1.58,1.6,1.73,1.73,1.69,,0.27,0.51,0.39,0.4,0.39,0.27,,0.2,0.31
e_0,2.81,,2.8,2.61,3.56,2.43,0.64,0.52,0.47,,0.75,0.24,0.43,0.34,0.05,
g_0,2.13,1.52,1.76,2.06,1.84,1.56,0.35,0.37,0.49,,0.34,0.33,,0.26,,
