,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.06,1.47,2.27,2.63,2.21,1.81,0.93,0.77,0.84,0.61,0.72,0.74,0.56,1.18,0.62,0.64
f_1,2.52,1.06,1.95,1.96,2.05,1.99,0.63,0.83,0.63,0.69,0.79,0.69,0.45,0.53,0.57,0.51
d_1,2.78,2.6,1.06,2.34,2.28,1.8,0.92,0.59,1.17,0.71,0.71,0.63,0.5,0.56,0.35,0.47
c_1,1.93,2.8,2.73,1.06,2.85,2.23,0.93,1.04,0.44,0.95,0.6,0.65,0.53,0.53,0.53,0.63
b_1,2.81,3.38,2.94,1.69,1.07,2.84,1.25,1.38,0.85,0.98,0.85,1.17,0.72,0.77,0.63,0.83
a_1,4.38,3.62,3.44,3.27,1.96,1.07,1.46,1.13,0.95,1.04,1.07,1.16,0.73,0.89,0.82,1.45
h_1,5.92,7.14,5.98,5.76,4.72,4.48,1.33,2.31,1.98,1.79,1.67,1.75,1.82,1.53,1.31,1.36
g_1,7.07,7.42,7.95,7.92,6.13,5.8,2.04,1.35,2.3,2.06,2.52,2.03,1.27,1.72,1.97,1.99
d_0,4.54,7.81,9.92,8.83,7.31,7.17,2.59,2.8,1.56,2.08,2.02,2.19,1.66,2.17,1.84,1.97
c_0,7.98,7.22,4.64,12.79,6.87,6.2,2.75,2.54,2.93,1.57,2.29,2.39,1.78,1.85,1.59,2.56
f_0,6.75,12.09,7.83,9.11,7.5,6.74,3.22,1.93,2.35,2.15,1.52,2.35,1.87,2.41,1.23,1.87
b_0,7.12,7.87,7.84,10.57,12.28,7.19,2.99,2.67,2.71,1.55,2.21,1.51,1.93,2.54,1.97,2.52
h_0,9.35,9.94,8.66,9.03,9.5,7.14,4.89,4.23,3.05,3.0,2.82,2.69,2.77,2.25,2.22,2.35
e_0,13.47,13.66,10.6,11.45,8.33,9.62,3.38,4.15,3.19,2.63,1.78,2.55,2.84,1.59,1.72,2.58
g_0,10.06,11.79,12.14,11.37,10.28,8.99,3.88,5.21,3.24,3.23,3.48,2.77,2.01,3.26,2.76,2.6
a_0,10.53,12.56,12.62,10.67,10.6,17.09,4.63,3.66,3.78,2.68,3.53,1.79,2.59,3.27,2.57,1.61
