,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,105.52,34.85,37.36,52.56,65.68,219.8,5464.98,15993.46,9195.15,13701.36,19477.13,23254.77,51795.93,70681.11,57752.15,110115.66
f_1,47.19,109.3,43.53,51.75,66.28,220.36,3853.08,10081.09,10600.11,13722.76,18108.36,7880.73,43014.86,51434.51,66100.31,77759.61
d_1,29.8,34.42,136.19,33.04,70.76,173.64,4956.76,5579.8,9270.8,24133.48,19492.13,19189.67,50510.85,50556.57,79726.53,72291.25
c_1,27.21,26.96,50.34,137.31,88.96,171.53,5102.58,7784.21,10090.92,6976.62,14858.29,24063.81,51229.91,58709.38,65248.79,66601.64
b_1,26.68,25.33,38.83,30.85,196.96,268.83,3960.77,8006.09,7040.07,10701.26,6352.47,17809.07,34797.38,47033.91,57210.65,75897.15
a_1,16.88,18.45,28.52,26.22,35.31,490.1,2927.37,6435.27,5843.17,7995.12,12137.88,12066.76,31515.94,25898.67,38326.84,49158.92
h_1,11.01,15.6,12.8,12.32,17.99,49.0,3179.49,2545.51,3282.7,4406.24,6416.92,7730.98,10426.61,23100.24,20279.19,31972.22
d_0,8.14,9.83,5.06,20.21,15.75,48.96,1513.79,4138.04,2402.42,3781.18,5189.8,6019.0,11800.04,14196.96,18963.73,27233.4
g_1,7.67,6.64,13.97,10.69,21.54,49.45,1213.04,2666.02,5489.37,3260.37,4605.9,8098.95,12185.59,17973.88,15935.05,12119.24
c_0,8.98,9.23,8.95,6.49,15.53,39.94,1283.48,2261.08,2384.09,5971.49,6747.29,6033.17,11011.65,15985.91,18654.85,20736.48
b_0,7.46,9.4,9.18,10.61,8.81,40.43,1030.52,2027.65,2218.33,3058.8,6915.72,4895.15,11934.01,23672.4,16187.28,23299.18
f_0,6.14,5.25,11.4,9.14,15.04,37.59,1197.93,1803.61,1985.25,2908.83,4555.29,8022.65,8144.77,16346.78,30732.57,16940.06
h_0,3.96,7.45,6.91,7.56,13.49,25.06,577.88,1711.62,1909.16,2799.71,3304.12,4435.9,5269.24,10665.9,12910.32,18371.35
a_0,4.23,6.22,7.56,6.23,8.02,18.16,777.39,1571.3,1465.35,2516.57,2277.25,3174.38,8173.9,19185.4,11481.64,13977.16
e_0,2.09,5.61,6.12,7.02,9.2,31.12,908.69,1425.13,1485.59,2076.75,2723.94,2142.86,7214.17,10944.92,21030.88,12300.72
g_0,3.72,4.19,8.76,7.49,8.37,27.24,712.55,1125.64,,1987.64,2449.85,4392.03,5679.3,7785.93,9866.69,9215.27
