,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.01,0.08,0.07,0.1,0.12,0.11,0.2,0.21,0.25,0.25,0.22,0.24,0.27,0.35,,0.39
d_1,0.11,0.01,0.08,0.08,0.09,0.14,0.15,,0.13,0.17,0.21,0.25,0.2,0.33,0.39,0.22
f_1,0.08,0.06,0.01,0.09,0.09,0.13,0.1,0.16,0.2,0.14,0.23,,0.2,0.36,0.29,0.27
c_1,0.05,0.07,0.06,0.01,0.1,0.09,0.12,0.08,0.14,,0.14,0.17,0.19,0.18,0.35,0.26
b_1,0.03,0.04,0.04,0.02,,0.1,0.08,0.09,0.11,0.09,,0.11,0.14,0.18,0.19,0.13
a_1,0.02,0.02,0.01,0.01,0.01,,0.02,0.02,0.03,0.03,,0.03,0.03,,,0.05
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
