,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.32,0.93,0.72,1.03,0.78,0.61,1.55,1.35,2.92,1.48,1.57,1.61,2.07,1.78,1.39,1.08
f_1,1.51,2.34,0.74,0.84,0.64,0.51,1.51,1.29,1.88,1.49,1.62,0.94,1.79,1.74,1.34,0.94
d_1,0.79,0.94,2.45,0.62,0.8,0.63,1.61,1.57,1.19,3.08,2.07,1.97,2.31,1.87,1.42,1.38
c_1,0.78,0.82,0.83,2.46,1.36,0.7,1.4,1.33,1.64,1.02,1.06,1.36,2.02,1.94,1.35,1.25
b_1,0.83,0.85,0.8,0.85,2.58,1.2,1.39,1.16,1.58,1.74,1.09,1.43,2.22,1.87,1.08,1.54
a_1,0.8,0.93,0.78,0.92,0.83,3.1,1.75,1.58,1.7,1.26,1.62,1.56,2.35,2.1,0.94,1.36
h_1,0.91,1.18,0.93,0.94,0.77,0.65,3.28,1.89,1.68,1.71,1.85,2.07,1.74,2.85,1.67,1.72
g_1,0.86,0.85,1.43,0.85,0.78,0.7,1.64,3.55,1.28,1.86,1.77,2.74,2.38,1.77,1.61,1.87
d_0,0.88,1.08,0.64,1.62,0.83,0.64,1.58,1.39,2.98,1.31,1.62,1.68,2.43,2.05,1.52,1.66
c_0,0.99,1.01,1.02,0.77,0.67,0.65,1.92,1.53,2.02,3.14,3.46,2.02,2.31,2.42,1.9,1.5
b_0,0.9,1.06,1.07,1.02,0.72,0.63,1.81,1.51,1.8,1.72,3.23,1.73,2.5,2.51,3.23,1.57
f_0,0.75,0.74,1.09,1.01,0.84,0.91,1.62,1.66,1.99,2.08,1.95,3.45,2.65,2.66,1.76,3.25
h_0,0.9,1.42,0.92,0.9,0.78,0.64,1.37,1.9,1.8,1.75,1.63,1.65,1.91,2.58,1.47,1.37
g_0,0.79,0.93,1.54,0.96,0.75,0.6,1.72,1.27,1.63,1.71,1.83,2.66,2.38,1.59,1.31,1.44
a_0,1.0,1.08,0.86,1.1,0.84,0.59,1.78,1.36,1.96,2.02,1.9,1.85,2.74,2.11,3.42,1.53
e_0,0.62,0.98,1.07,1.09,0.79,0.85,2.01,1.53,1.88,1.79,1.89,2.15,2.56,2.46,1.62,3.51
