,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,6.06,3.09,2.29,3.36,2.64,2.51,10.42,11.16,21.72,12.96,13.18,15.7,13.8,21.46,19.78,13.44
f_1,4.07,6.13,2.86,2.91,2.57,2.8,10.67,9.18,13.35,11.3,13.13,8.8,13.96,19.29,21.66,10.34
d_1,2.72,3.12,6.56,2.53,2.64,3.04,10.73,10.87,9.11,22.78,15.94,13.53,14.47,21.7,20.09,13.91
c_1,2.75,2.98,2.71,6.76,4.8,2.76,10.07,9.68,12.87,8.15,9.27,12.39,14.3,19.56,19.17,15.98
b_1,2.43,2.81,2.9,2.76,8.09,5.63,8.62,9.6,11.21,12.21,8.69,12.07,11.42,19.88,18.67,15.37
a_1,2.56,2.96,3.09,3.19,2.73,11.74,11.34,11.63,13.39,12.38,14.73,13.41,10.36,22.77,19.62,18.57
h_1,3.01,3.71,3.0,3.34,3.21,2.51,18.13,14.46,12.92,13.21,14.06,14.17,15.78,17.75,27.32,18.1
g_1,2.61,2.45,4.46,3.03,2.83,3.35,11.11,20.64,9.97,14.28,12.69,22.08,13.7,20.71,20.07,19.65
d_0,2.63,3.04,2.46,4.92,3.08,3.15,10.52,11.27,19.57,9.24,12.9,15.92,12.68,21.34,22.07,19.32
c_0,2.83,3.53,3.44,2.66,2.55,3.4,10.47,12.46,13.34,20.59,24.98,17.14,18.99,23.36,22.46,16.32
b_0,2.81,3.53,3.24,3.39,2.1,3.03,10.55,11.61,13.61,14.23,22.67,15.56,29.77,24.48,25.71,17.21
f_0,2.35,2.7,3.68,3.5,2.96,3.47,12.64,13.41,14.25,14.84,14.19,23.82,16.69,24.14,23.04,33.37
a_0,2.77,3.1,3.94,3.14,3.08,1.91,12.31,10.46,12.84,13.64,15.89,16.3,26.52,22.27,27.23,17.43
h_0,2.91,4.0,3.39,3.04,2.96,3.0,8.75,12.07,12.33,12.02,13.67,13.11,16.45,16.9,28.21,14.44
g_0,2.68,3.01,4.24,2.97,2.96,3.08,10.78,10.46,13.33,14.72,14.4,20.99,16.14,23.09,18.71,18.61
e_0,2.29,3.24,3.22,3.38,3.47,3.7,12.74,11.73,14.22,14.21,13.09,14.86,15.28,18.31,26.84,31.29
