,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.66,1.29,1.42,1.13,1.05,0.34,0.26,0.4,0.25,0.24,0.31,0.16,0.24,0.39,0.19
f_1,1.06,0.42,1.22,1.15,1.26,1.05,0.24,0.24,0.36,0.21,0.25,0.33,0.12,0.2,0.2,0.21
c_1,0.89,1.17,0.42,1.59,1.23,1.16,0.39,0.14,0.34,0.36,0.22,0.24,0.18,0.23,0.22,0.2
d_1,1.36,1.4,1.2,0.41,1.15,1.12,0.3,0.46,0.24,0.21,0.23,0.22,0.17,0.21,0.21,0.1
b_1,1.42,1.66,0.72,1.27,0.38,1.34,0.46,0.27,0.44,0.36,0.52,0.25,0.22,0.33,0.26,0.19
a_1,1.9,1.77,1.81,1.47,0.78,0.33,0.53,0.37,0.44,0.31,0.38,0.31,0.26,0.43,0.25,0.25
h_1,2.23,2.36,2.43,1.97,2.46,2.27,0.28,0.47,0.6,0.42,0.44,0.42,0.43,0.37,0.37,0.35
d_0,1.47,2.09,2.36,3.56,2.76,2.8,0.81,0.34,0.79,0.51,0.43,0.5,0.41,0.39,0.56,0.45
g_1,2.4,2.6,2.67,2.06,2.52,2.12,0.49,0.63,0.27,0.41,0.54,0.47,0.28,0.52,0.5,0.44
c_0,2.97,2.74,4.36,1.42,2.78,2.27,0.73,0.8,0.62,0.32,0.53,0.55,0.42,0.46,0.59,0.36
b_0,2.37,2.64,3.75,2.09,4.14,2.15,0.73,0.53,0.75,0.29,0.31,0.48,0.4,0.45,0.5,0.32
f_0,2.43,3.88,2.68,2.32,2.85,2.59,0.8,0.61,0.48,0.58,0.6,0.31,0.4,0.47,0.51,0.26
h_0,2.89,3.04,2.99,2.79,2.8,2.2,1.12,0.68,0.8,0.54,0.65,0.56,0.61,0.51,0.52,0.41
a_0,3.04,3.32,3.49,3.04,4.24,3.51,0.92,0.6,1.02,0.61,0.36,0.63,0.5,0.31,0.57,0.38
e_0,4.43,4.45,3.5,3.07,2.89,2.77,1.24,0.62,0.8,0.64,0.55,0.33,0.54,0.53,0.29,0.36
g_0,3.61,3.99,3.47,3.14,3.9,3.01,0.76,0.8,1.18,0.69,0.65,0.63,0.38,0.61,0.56,0.59
