,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.67,0.47,0.78,0.72,0.63,0.39,0.36,0.39,0.32,0.32,0.35,0.27,0.31,0.41,0.31
d_1,0.82,0.4,0.7,0.68,0.63,0.58,0.33,0.42,0.26,0.32,0.31,0.3,0.23,0.28,0.26,0.19
f_1,0.74,0.63,0.4,0.67,0.64,0.57,0.27,0.3,0.41,0.28,0.29,0.36,0.23,0.29,0.27,0.25
c_1,0.53,0.76,0.7,0.38,0.8,0.63,0.38,0.2,0.36,0.36,0.26,0.3,0.23,0.27,0.32,0.27
b_1,0.63,0.71,0.69,0.42,0.36,0.97,0.38,0.31,0.39,0.39,0.39,0.3,0.3,0.26,0.32,0.27
a_1,0.79,0.8,0.75,0.66,0.35,0.3,0.4,0.34,0.4,0.33,0.41,0.32,0.27,0.45,0.33,0.29
h_1,0.59,0.63,0.75,0.61,0.63,0.55,0.24,0.27,0.37,0.28,0.27,0.26,0.29,0.27,0.26,0.24
d_0,0.43,0.72,0.61,0.77,0.69,0.68,0.43,0.24,0.39,0.26,0.28,0.27,0.27,0.28,0.25,0.26
g_1,0.65,0.65,0.65,0.66,0.64,0.55,0.29,0.29,0.22,0.29,0.28,0.3,0.19,0.25,0.28,0.27
c_0,0.63,0.44,0.73,0.9,0.61,0.58,0.38,0.42,0.35,0.23,0.36,0.29,0.27,0.3,0.27,0.21
b_0,0.61,0.52,0.63,0.86,0.79,0.56,0.33,0.29,0.36,0.18,0.22,0.28,0.26,0.33,0.26,0.22
f_0,0.6,0.6,0.84,0.67,0.62,0.62,0.36,0.35,0.22,0.28,0.26,0.21,0.22,0.3,0.35,0.19
h_0,0.62,0.61,0.64,0.68,0.6,0.52,0.41,0.27,0.4,0.25,0.26,0.3,0.27,0.23,0.23,0.25
a_0,0.58,0.63,0.6,0.67,0.89,0.67,0.33,0.27,0.38,0.24,0.17,0.27,0.26,0.2,0.27,0.23
e_0,0.62,0.62,0.86,0.64,0.68,0.58,0.41,0.31,0.31,0.27,0.28,0.17,0.26,0.28,0.19,0.22
g_0,0.6,0.65,0.64,0.63,0.62,0.56,0.3,0.31,0.36,0.33,0.29,0.3,0.19,0.31,0.24,0.28
