,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.88,1.2,0.92,0.8,0.65,0.38,0.44,0.37,0.41,0.36,0.32,0.31,0.3,0.27,0.29
d_1,1.1,1.0,1.04,0.87,0.82,0.66,0.48,0.37,0.57,0.42,0.47,0.36,0.35,0.34,0.32,0.25
e_1,0.84,0.95,1.0,1.09,0.94,0.74,0.55,0.49,0.44,0.58,0.39,0.44,0.39,0.35,0.37,0.41
c_1,1.08,1.13,0.92,1.0,1.25,0.77,0.47,0.47,0.43,0.33,0.38,0.4,0.39,0.36,0.32,0.38
b_1,1.23,1.25,1.05,0.79,1.0,1.23,0.62,0.51,0.53,0.47,0.41,0.46,0.42,0.37,0.38,0.37
a_1,1.55,1.52,1.34,1.29,0.84,1.0,0.71,0.72,0.55,0.56,0.66,0.54,0.56,0.46,0.49,0.43
h_1,2.66,2.08,1.77,2.05,1.66,1.31,1.0,1.07,0.78,0.78,0.69,0.72,0.77,0.61,0.63,0.71
g_1,2.25,2.71,2.08,2.16,2.03,1.43,0.94,1.0,0.93,0.83,0.78,0.97,0.71,0.88,0.75,0.71
c_0,2.59,1.79,2.35,2.53,1.87,1.79,1.28,1.07,1.0,1.2,1.27,0.86,0.93,0.91,0.79,0.76
d_0,2.47,2.38,1.69,3.08,2.18,1.73,1.21,1.25,0.78,1.0,0.83,0.96,0.87,0.83,0.83,0.87
b_0,2.72,2.23,2.49,2.72,2.44,1.64,1.39,1.25,0.81,1.16,1.0,0.91,0.94,1.27,0.87,0.82
f_0,3.07,2.66,2.36,2.59,2.15,1.89,1.31,1.0,1.13,1.03,1.08,1.0,1.13,0.97,1.21,0.71
h_0,3.27,2.76,2.7,2.57,2.34,1.77,1.26,1.45,1.08,1.14,1.1,0.93,1.0,0.88,0.87,1.05
a_0,3.26,2.81,2.78,2.77,2.68,2.16,1.6,1.28,1.18,1.16,0.85,1.12,1.19,1.0,1.02,0.96
e_0,3.67,3.01,2.59,3.06,2.66,2.06,1.54,1.28,1.27,1.19,1.17,0.84,1.16,0.98,1.0,0.9
g_0,3.57,3.88,2.58,2.55,2.64,2.21,1.36,1.4,1.31,1.09,1.24,1.34,0.98,1.11,1.07,1.0
