,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,110.51,76.23,85.12,133.13,123.96,375.4,12123.16,19727.32,40618.7,33051.33,52172.99,54242.99,131290.82,152752.28,153216.44,299040.28
f_1,100.76,115.84,88.87,114.55,102.88,319.62,10038.25,17741.2,27966.26,36216.43,41816.45,51247.16,115468.53,144285.65,145425.35,235203.09
d_1,68.69,76.67,141.19,85.65,104.73,330.78,10529.5,16615.65,21028.56,49905.61,45201.33,53857.87,117763.12,154228.02,169298.66,237480.13
c_1,56.51,64.03,94.36,154.1,153.66,340.41,9411.79,15167.25,21312.66,24718.1,41103.48,34003.88,113677.92,131210.16,162360.44,247962.12
b_1,57.35,69.11,90.03,86.45,161.3,531.14,9436.94,15975.27,21997.71,32550.07,45951.83,38322.21,107241.28,111368.98,183355.13,248074.59
a_1,42.98,52.87,63.72,62.93,59.06,423.17,6894.06,13094.22,16031.05,24553.79,30456.15,34023.7,86672.98,83235.65,134684.81,146239.18
h_1,16.44,22.19,25.82,28.99,26.04,87.49,3484.91,4836.51,6825.82,7957.03,11174.1,12117.99,27904.81,36212.33,46356.16,88684.34
g_1,13.95,14.97,25.42,24.03,24.77,67.81,2318.99,5409.03,5208.6,8100.91,13338.22,9208.48,21837.38,29323.87,41752.19,54784.87
d_0,11.78,14.71,16.63,31.19,23.51,73.93,1995.28,3559.2,6256.78,5502.35,9220.72,8989.9,23226.85,27743.21,33369.58,52724.18
c_0,13.9,13.79,15.75,17.79,18.68,61.42,2235.64,3509.15,5264.01,7787.46,9124.5,13996.38,21886.91,32719.03,30869.36,50133.86
f_0,9.34,11.22,15.52,19.86,20.34,59.63,1929.29,2936.68,4116.82,5223.51,10127.09,7352.86,21123.39,24057.47,49157.74,45911.02
b_0,10.71,12.34,14.71,21.07,16.92,43.25,1783.11,3383.35,4397.22,4986.25,8186.75,10216.11,20456.36,42059.26,28484.45,44265.74
h_0,8.87,11.42,13.06,13.52,13.47,42.3,1160.02,3005.12,3357.23,4245.4,5926.08,5988.3,13193.83,20552.66,20779.8,40667.42
a_0,8.14,8.84,10.52,12.87,14.55,36.58,1242.73,2194.58,3018.73,3718.64,5963.74,4903.13,12093.84,23122.6,20395.24,34259.79
e_0,6.51,9.14,11.21,11.55,11.25,36.64,1272.13,1868.54,2953.92,4116.64,4403.46,5668.27,14154.85,15520.52,26824.46,26738.08
g_0,5.12,7.33,12.7,10.72,11.04,37.91,845.78,1549.85,2032.8,3471.08,5947.17,4567.23,11023.46,12864.66,21084.0,23318.82
