,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.27,0.59,0.9,0.45,0.54,0.41,0.93,1.08,1.17,0.93,1.3,0.47,0.94,1.45,0.79,1.2
c_1,0.58,2.37,0.52,1.06,0.52,0.39,0.85,1.3,0.4,0.89,0.57,0.89,0.71,1.36,0.8,1.26
e_1,0.68,0.76,2.38,0.55,0.39,0.37,1.23,2.23,1.13,0.79,1.16,1.02,0.94,1.4,0.32,1.34
b_1,0.61,0.58,0.54,2.45,0.55,0.82,1.02,1.0,1.04,0.94,0.59,1.05,0.71,1.19,1.13,1.13
d_1,0.61,0.35,0.59,0.51,2.51,0.51,0.94,0.68,2.26,0.95,1.4,1.46,1.15,1.51,1.04,1.39
a_1,0.66,0.57,0.55,0.52,0.69,3.0,1.08,1.0,1.05,0.84,1.22,1.19,0.53,1.21,0.99,1.29
h_1,0.94,0.85,0.62,0.61,0.68,0.48,3.22,1.44,1.24,1.5,1.35,1.18,1.15,1.16,0.99,1.96
d_0,0.77,1.32,0.63,0.73,0.4,0.41,1.19,2.63,0.97,0.91,0.9,1.34,1.11,1.84,1.35,1.6
c_0,0.77,0.49,0.71,0.5,0.76,0.52,1.28,1.49,2.94,1.13,2.79,1.55,1.72,2.06,1.3,1.65
g_1,0.65,0.7,0.67,0.53,1.22,0.44,0.97,1.21,1.49,3.52,1.27,1.84,1.25,1.77,1.17,1.02
b_0,0.84,0.73,0.7,0.36,0.76,0.42,1.16,1.74,1.67,1.09,2.91,1.31,2.75,1.94,1.18,1.9
f_0,0.64,0.83,0.55,0.65,0.68,0.63,1.36,1.83,1.62,1.02,1.55,3.03,1.34,1.83,2.4,1.63
a_0,0.95,0.78,0.79,0.59,0.58,0.34,1.41,1.69,1.32,1.09,1.41,1.4,3.3,2.14,1.37,1.49
h_0,1.11,0.77,0.58,0.68,0.63,0.53,0.68,1.68,1.33,1.48,1.46,1.21,1.31,1.05,1.3,1.85
e_0,0.94,0.66,0.44,0.76,0.8,0.53,1.42,1.32,1.48,1.21,1.32,1.44,1.39,1.74,3.12,2.08
g_0,0.62,0.68,0.54,0.66,1.07,0.55,1.36,1.43,1.37,0.73,1.38,2.11,1.22,1.86,1.61,1.04
