,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.05,0.98,0.85,0.89,0.78,0.73,0.83,0.57,0.64,0.7,0.6,0.59,0.59,0.47,0.58
f_1,0.93,1.0,1.24,0.98,0.88,0.77,0.62,0.59,0.69,0.7,0.58,0.58,0.54,0.54,0.58,0.46
e_1,1.02,0.83,1.0,1.11,1.01,0.86,0.71,0.65,0.72,0.86,0.66,0.72,0.64,0.59,0.64,0.63
c_1,1.16,1.05,0.9,1.0,1.37,0.82,0.64,0.65,0.66,0.52,0.51,0.59,0.63,0.56,0.58,0.58
b_1,1.13,1.12,0.99,0.73,1.0,1.35,0.86,0.75,0.73,0.64,0.79,0.71,0.65,0.62,0.68,0.62
a_1,1.27,1.3,1.13,1.21,0.77,1.0,0.9,0.75,0.89,0.76,0.85,0.73,0.76,0.69,0.78,0.63
h_1,1.38,1.58,1.39,1.58,1.13,1.1,1.0,0.87,1.08,0.94,0.82,0.88,0.83,0.76,0.85,0.77
c_0,1.24,1.66,1.64,1.45,1.25,1.3,1.13,1.0,1.06,1.1,1.36,0.91,0.96,1.04,0.88,0.92
g_1,1.7,1.47,1.36,1.51,1.36,1.12,0.88,0.92,1.0,0.87,0.95,1.02,0.81,0.87,0.78,0.94
d_0,1.57,1.44,1.19,1.85,1.58,1.28,1.06,0.91,1.08,1.0,1.02,0.93,0.9,0.87,0.9,0.86
b_0,1.42,1.65,1.57,1.93,1.32,1.19,1.2,0.79,1.05,0.99,1.0,1.05,1.02,1.28,0.94,0.98
f_0,1.66,1.65,1.41,1.65,1.46,1.38,1.16,1.07,0.96,1.03,0.98,1.0,1.0,1.0,0.78,1.31
h_0,1.72,1.85,1.62,1.56,1.54,1.27,1.21,1.03,1.16,1.09,0.98,1.03,1.0,0.92,1.12,0.84
a_0,1.68,1.91,1.7,1.85,1.58,1.33,1.32,1.0,1.17,1.17,0.79,1.09,1.1,1.0,1.03,1.03
g_0,2.05,1.8,1.62,1.75,1.45,1.25,1.15,1.18,1.22,1.1,1.06,1.24,0.88,0.96,1.0,1.07
e_0,1.77,2.07,1.61,1.63,1.56,1.55,1.29,1.15,1.05,1.22,1.02,0.78,1.14,0.97,0.89,1.0
