,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.48,0.41,0.39,0.56,0.49,0.36,0.52,0.93,0.48,0.49,0.61,0.56,0.41,0.55,0.25,0.57
f_1,0.77,1.5,0.49,0.43,0.41,0.28,0.44,0.47,0.48,0.58,0.48,0.21,0.5,0.53,0.35,0.49
d_1,0.53,0.44,1.53,0.42,0.39,0.37,0.61,0.27,0.44,0.91,0.58,0.49,0.48,0.63,0.56,0.5
c_1,0.42,0.5,0.47,1.54,0.67,0.44,0.53,0.49,0.44,0.2,0.47,0.46,0.46,0.61,0.49,0.64
b_1,0.41,0.52,0.58,0.42,1.6,0.6,0.54,0.62,0.55,0.51,0.13,0.57,0.41,0.63,0.51,0.38
a_1,0.58,0.61,0.45,0.53,0.4,1.76,0.64,0.49,0.57,0.62,0.67,0.62,0.17,0.53,0.5,0.51
h_1,0.77,1.11,0.69,0.64,0.66,0.52,1.67,0.73,0.79,0.69,0.71,0.71,0.73,0.47,0.69,0.9
d_0,0.71,0.84,0.43,1.26,0.68,0.65,0.93,1.5,0.86,0.71,0.96,0.81,0.78,1.0,0.66,0.91
g_1,0.76,0.7,1.05,0.82,0.58,0.47,0.89,0.86,1.78,0.96,0.82,1.16,0.82,0.97,0.81,0.63
c_0,0.84,0.91,0.77,0.55,0.55,0.57,1.13,0.99,0.87,1.52,1.54,1.04,0.84,1.04,0.82,1.07
b_0,0.77,1.06,0.76,0.82,,0.57,1.15,0.95,0.91,0.7,1.57,1.01,1.38,0.94,0.69,0.85
f_0,0.59,0.5,1.04,0.97,0.68,0.58,1.07,1.06,0.86,0.96,0.88,1.62,1.03,1.04,1.47,0.96
a_0,1.01,0.86,0.85,0.8,0.79,,0.99,0.87,0.89,0.95,0.56,0.9,1.71,1.04,0.73,0.74
h_0,0.87,1.08,0.8,0.76,0.63,0.63,0.67,0.94,1.01,0.85,0.89,0.89,0.82,0.54,0.74,1.28
e_0,0.37,0.96,0.93,0.76,0.81,0.82,0.96,1.03,1.0,0.98,1.15,0.78,0.77,1.2,1.66,1.07
g_0,0.79,0.86,1.2,0.74,0.94,0.6,0.84,0.74,0.5,0.79,0.92,1.27,0.77,0.84,0.77,0.6
