,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.44,0.68,1.31,0.78,0.62,0.78,1.37,1.32,1.68,1.46,0.66,1.63,1.74,2.05,1.81,1.13
d_1,0.94,2.46,0.78,0.64,0.74,0.54,1.49,1.5,0.98,2.71,1.86,1.93,2.47,1.89,1.74,1.57
e_1,0.66,0.66,2.47,0.79,0.85,0.87,1.66,1.38,2.58,1.83,1.83,1.93,2.47,2.28,1.45,0.88
c_1,0.8,0.86,0.7,2.54,1.29,0.53,1.4,1.25,1.49,0.62,1.57,1.41,2.2,2.04,1.72,2.02
b_1,0.88,0.78,0.68,0.69,2.67,1.23,1.62,1.42,1.59,1.79,1.66,0.85,1.95,2.24,1.38,1.98
a_1,0.76,0.96,0.67,0.9,0.61,3.3,1.6,1.51,1.73,1.74,1.97,1.73,2.01,1.95,,1.53
h_1,1.25,0.92,0.83,1.21,0.85,0.84,3.85,2.55,2.08,2.11,2.11,2.6,1.68,3.65,2.18,2.81
g_1,0.94,1.31,0.99,1.26,0.83,1.06,1.45,4.28,1.95,2.41,2.86,2.32,2.34,1.21,2.0,2.38
d_0,1.01,0.7,0.86,1.64,1.07,1.08,2.15,2.23,3.71,2.02,1.74,2.16,2.35,2.45,2.53,2.24
c_0,1.11,0.92,1.04,0.78,0.9,1.21,2.22,2.32,2.43,3.86,2.88,3.91,3.1,2.82,2.9,2.65
f_0,0.6,1.14,0.95,1.12,1.12,1.02,2.16,2.21,2.34,2.27,4.03,2.49,2.68,2.52,2.47,4.37
b_0,1.1,1.16,0.83,1.39,0.6,0.96,1.8,1.66,2.48,1.72,2.42,3.98,3.0,2.58,4.08,2.53
h_0,1.42,1.04,0.86,0.9,1.1,0.97,1.15,2.57,1.94,2.07,2.64,2.02,1.59,3.3,2.29,2.05
g_0,0.88,1.45,0.91,1.05,0.85,1.01,1.76,1.58,2.18,2.41,3.02,2.7,2.19,1.61,2.16,2.48
a_0,0.95,1.19,1.11,1.12,0.99,,2.28,1.83,2.14,1.42,2.46,1.78,3.01,3.27,4.82,1.83
e_0,1.12,1.27,0.6,0.96,0.94,1.15,1.99,2.47,2.19,2.26,1.9,2.71,3.36,3.02,3.34,4.97
