,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,104.44,54.11,58.93,83.62,122.05,411.86,7304.83,13318.92,30875.9,21449.99,28403.41,37039.93,67485.92,98723.15,191872.19,171999.44
f_1,72.96,109.26,68.46,75.13,107.96,451.08,7544.76,11620.42,17632.54,16442.04,25794.51,19688.55,66039.15,66090.5,199166.31,107140.29
d_1,49.4,55.43,128.19,60.93,120.84,416.91,7357.9,10672.59,10807.39,28693.29,28155.05,30138.33,63337.13,79407.19,149008.53,137032.4
c_1,45.14,52.74,61.27,140.27,188.0,289.33,6441.27,9325.4,13801.86,10396.79,16782.94,27290.84,56527.33,79480.35,163504.22,145128.43
b_1,39.46,45.16,51.68,47.36,221.62,535.21,5102.6,8107.89,11889.69,13082.51,12380.4,25155.41,46072.58,62183.22,117589.9,111310.56
a_1,23.87,26.98,34.76,48.6,52.25,600.1,4659.25,6118.98,9558.52,10020.43,13275.96,15911.32,22743.67,48003.52,91894.86,107050.58
h_1,14.27,17.95,16.94,20.15,37.14,79.28,3066.3,3855.29,4799.65,5419.23,7146.13,8279.58,17003.94,20226.39,58728.71,45840.78
g_1,10.57,9.94,20.28,18.99,27.82,101.16,1540.69,4421.99,3479.8,4673.17,5258.9,10377.78,14245.91,15897.06,32554.87,41555.32
d_0,8.52,11.63,12.31,24.03,25.07,83.24,1433.56,2666.72,5155.97,2985.59,5082.9,7149.25,11861.42,17631.51,35779.21,37563.84
c_0,9.58,13.17,12.96,13.79,20.81,88.88,1398.32,2465.27,3891.34,5463.24,8412.72,7419.76,15634.96,19012.51,34960.73,31873.87
b_0,8.84,11.22,12.2,16.69,18.39,83.08,1347.28,2519.51,3263.33,2966.66,6918.98,6684.48,20552.8,17385.72,38334.37,30900.25
f_0,6.7,8.08,13.63,14.44,21.44,74.95,1528.19,2146.76,3228.26,3343.63,4529.54,8249.65,12953.59,16296.39,26751.51,50447.56
a_0,6.76,7.8,11.16,10.27,17.35,41.13,1071.54,1771.04,2437.64,2279.03,3382.88,4448.93,14247.61,10023.81,26732.26,25307.13
h_0,6.08,10.12,9.67,9.85,17.06,53.5,747.72,1908.25,2055.28,2322.92,3083.88,3754.17,9707.8,8262.56,29496.78,19503.52
g_0,4.71,5.19,9.47,6.78,14.65,40.3,680.81,1253.53,1943.23,2109.13,2383.43,4838.68,7035.03,8849.43,15780.35,18676.77
e_0,3.27,7.47,7.68,8.8,14.51,40.69,800.54,1171.26,1794.25,2003.34,2383.28,2919.36,6352.53,8263.73,18134.99,27313.6
