,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,1.12,1.91,2.06,2.58,1.87,0.63,0.42,0.42,0.7,0.4,0.54,0.34,0.43,1.59,0.34
f_1,1.81,0.44,1.88,2.37,1.86,1.59,0.39,0.4,0.37,0.72,0.41,0.93,0.21,0.32,0.4,0.4
d_1,2.88,2.31,0.41,2.18,2.13,1.96,0.51,0.98,0.35,0.32,0.38,0.36,0.32,0.41,0.34,0.18
c_1,1.72,2.13,3.32,0.4,1.93,2.09,0.7,0.24,1.21,0.66,0.48,0.39,0.31,0.39,0.45,0.32
b_1,2.24,3.15,2.29,1.12,0.38,2.95,0.73,0.51,0.69,0.88,1.53,0.56,0.37,0.73,0.43,0.31
a_1,2.93,3.03,2.63,3.04,1.44,0.33,1.04,0.63,0.5,0.76,0.54,0.5,0.39,2.19,0.5,0.56
h_1,3.68,2.93,3.12,4.0,3.46,2.9,0.33,0.87,0.58,0.96,0.66,0.66,0.7,0.55,0.53,0.5
d_0,2.01,3.65,9.04,3.36,3.72,3.25,1.14,0.42,1.01,1.32,0.71,0.78,0.5,0.77,0.83,0.67
c_0,4.09,3.63,1.9,11.38,3.72,4.28,1.04,1.08,0.4,1.1,0.73,0.72,0.48,0.77,0.73,0.49
g_1,3.66,4.28,3.51,4.52,3.1,5.45,0.82,0.84,0.73,0.3,0.83,0.63,0.37,0.63,0.63,0.92
b_0,3.43,3.77,3.72,4.69,6.64,3.83,0.99,0.9,0.45,1.21,0.39,0.72,0.55,0.85,0.65,0.56
f_0,3.73,8.7,3.62,4.48,3.87,4.43,1.11,0.81,0.82,0.7,0.68,0.35,0.54,0.6,0.62,0.33
h_0,3.87,5.28,4.36,5.02,4.67,4.28,2.3,0.86,0.95,1.42,0.88,0.77,1.18,0.82,0.78,0.71
a_0,4.13,5.13,4.56,6.62,6.85,11.46,1.22,1.1,0.98,1.91,0.52,0.96,0.82,0.33,0.94,0.52
e_0,8.8,8.11,5.1,4.57,4.03,4.05,1.91,1.1,1.02,1.12,1.01,0.47,0.66,0.92,0.31,0.66
g_0,5.49,4.76,4.52,5.08,5.59,4.61,1.21,1.19,1.01,2.42,1.06,0.93,0.58,0.84,0.97,1.13
