,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,15.08,1.29,0.49,0.57,0.48,0.44,0.84,0.75,0.83,0.9,0.82,0.36,0.83,0.69,0.74,0.64
e_1,0.71,15.06,0.42,0.77,0.42,0.53,0.96,0.85,0.92,2.25,1.02,0.9,0.98,1.12,0.86,0.5
d_1,0.67,0.43,17.91,0.44,0.52,0.57,0.96,0.94,2.19,0.37,1.16,1.07,1.08,1.0,1.03,0.89
c_1,0.48,0.46,0.56,18.36,1.45,0.47,0.78,0.88,0.32,0.85,0.67,1.06,0.95,0.93,0.82,0.95
b_1,0.46,0.53,0.63,0.56,22.02,1.5,0.74,0.85,0.66,0.68,0.35,0.76,0.85,0.69,0.9,0.96
a_1,0.48,0.6,0.83,0.43,0.55,31.6,0.91,0.77,0.84,0.64,1.03,1.09,1.16,0.48,1.28,1.11
h_1,0.97,0.67,0.77,0.73,0.75,0.67,4.64,1.67,0.99,1.15,1.19,1.27,0.82,1.0,1.67,1.39
g_1,0.78,0.49,1.53,0.77,0.66,0.63,1.04,6.03,1.02,0.76,1.15,1.64,1.14,1.17,0.71,1.43
c_0,0.79,0.74,0.88,0.45,0.56,0.75,1.45,1.28,3.0,0.84,3.6,1.52,1.29,1.25,1.74,1.47
d_0,0.68,0.64,0.36,2.25,0.77,0.71,1.11,1.01,0.85,2.91,1.0,1.4,1.03,0.92,1.17,1.3
b_0,0.84,0.68,0.69,0.81,0.38,0.5,1.36,1.17,1.27,1.34,3.74,1.4,1.58,3.64,1.7,1.47
f_0,0.44,0.42,0.93,0.83,0.79,1.0,1.25,1.35,1.27,1.17,1.39,3.79,1.18,1.33,1.11,3.6
h_0,1.34,0.61,0.77,0.79,0.57,0.67,0.72,1.52,1.21,1.03,1.27,1.1,0.58,1.39,1.91,1.29
a_0,1.01,0.49,0.87,0.68,0.86,0.43,1.42,1.25,1.08,1.38,0.94,1.73,1.36,4.64,1.25,1.73
g_0,0.52,0.6,1.66,0.73,0.55,0.76,1.1,0.86,1.33,0.98,1.46,2.37,1.32,1.18,0.78,1.13
e_0,0.85,0.39,0.78,0.82,0.84,0.77,1.09,1.04,1.24,1.31,1.4,1.28,1.56,1.3,1.61,5.22
