,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.37,1.19,0.86,1.24,0.89,0.69,1.98,1.97,3.63,2.14,2.08,2.39,1.86,2.88,2.34,1.58
f_1,1.59,2.37,1.07,1.07,0.86,0.77,2.03,1.62,2.23,1.87,2.08,1.34,1.89,2.59,2.56,1.21
d_1,1.06,1.2,2.46,0.93,0.89,0.84,2.04,1.91,1.52,3.76,2.52,2.06,1.95,2.91,2.38,1.63
c_1,1.08,1.15,1.01,2.48,1.61,0.76,1.92,1.7,2.15,1.35,1.47,1.89,1.93,2.63,2.27,1.87
b_1,0.95,1.09,1.09,1.02,2.71,1.55,1.64,1.69,1.87,2.02,1.37,1.84,1.54,2.67,2.21,1.8
a_1,1.0,1.14,1.16,1.17,0.91,3.22,2.16,2.05,2.24,2.04,2.33,2.04,1.4,3.06,2.32,2.18
h_1,1.17,1.43,1.12,1.23,1.08,0.69,3.45,2.55,2.16,2.18,2.22,2.16,2.13,2.38,3.23,2.12
g_1,1.02,0.95,1.67,1.11,0.95,0.92,2.11,3.63,1.67,2.36,2.01,3.37,1.85,2.78,2.37,2.3
d_0,1.03,1.18,0.92,1.81,1.03,0.86,2.0,1.98,3.27,1.53,2.04,2.43,1.71,2.87,2.61,2.27
c_0,1.11,1.37,1.29,0.98,0.86,0.93,1.99,2.19,2.23,3.4,3.95,2.61,2.57,3.14,2.66,1.91
b_0,1.1,1.37,1.21,1.25,0.71,0.83,2.01,2.04,2.27,2.35,3.58,2.37,4.02,3.29,3.04,2.02
f_0,0.92,1.04,1.38,1.29,0.99,0.95,2.4,2.36,2.38,2.45,2.24,3.63,2.26,3.24,2.73,3.91
a_0,1.08,1.2,1.48,1.15,1.03,0.52,2.34,1.84,2.15,2.25,2.51,2.49,3.58,2.99,3.22,2.04
h_0,1.14,1.55,1.27,1.12,0.99,0.82,1.66,2.12,2.06,1.99,2.16,2.0,2.22,2.27,3.34,1.69
g_0,1.04,1.16,1.59,1.09,0.99,0.85,2.05,1.84,2.23,2.43,2.28,3.2,2.18,3.1,2.21,2.18
e_0,0.89,1.25,1.21,1.24,1.17,1.02,2.42,2.07,2.38,2.35,2.07,2.27,2.06,2.46,3.18,3.67
