,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.51,1.38,0.89,0.9,0.75,0.62,0.87,0.96,0.96,0.86,0.89,0.78,0.97,0.82,0.91,0.58
e_1,0.81,1.52,0.81,1.04,0.91,0.8,1.06,0.93,1.7,1.02,1.1,1.12,1.06,0.82,1.09,0.76
d_1,1.0,0.86,1.56,0.83,0.84,0.69,1.12,0.92,0.86,1.53,1.21,0.96,1.19,1.01,0.96,0.95
c_1,1.01,0.86,0.84,1.58,1.32,0.82,1.03,0.92,0.85,0.79,0.75,1.02,1.13,0.98,0.95,0.83
b_1,1.05,0.9,0.88,0.79,1.63,1.3,1.13,0.96,1.11,1.04,0.83,0.96,1.33,0.73,1.19,0.93
a_1,1.2,0.94,1.09,0.92,0.81,1.75,1.19,1.11,1.08,1.35,1.25,1.08,1.46,0.8,1.08,0.86
h_1,1.54,1.12,1.19,1.1,0.92,0.75,1.8,1.55,1.36,1.22,1.27,1.09,1.13,1.09,1.59,1.12
g_1,1.16,1.09,1.54,1.12,1.03,0.89,1.25,1.89,1.29,1.26,1.31,1.54,1.26,1.21,1.17,1.1
d_0,1.22,0.98,0.89,1.91,1.06,0.95,1.34,1.07,1.71,0.97,1.42,1.19,1.47,1.2,1.27,1.32
c_0,1.45,1.12,1.19,1.1,0.8,0.84,1.52,1.42,1.46,1.78,2.25,1.22,1.7,1.44,1.55,1.41
b_0,1.41,1.14,1.26,1.35,0.83,0.78,1.51,1.41,1.38,1.23,1.82,1.24,1.57,2.09,1.33,1.33
f_0,1.15,1.01,1.4,1.23,1.14,1.0,1.54,1.28,1.53,1.52,1.54,1.86,1.53,1.35,1.46,2.19
h_0,1.64,1.26,1.27,1.19,1.04,0.92,1.23,1.6,1.27,1.28,1.38,1.25,1.32,1.31,1.76,1.08
a_0,1.56,1.18,1.31,1.27,1.2,0.74,1.59,1.33,1.45,1.32,1.24,1.39,1.65,1.86,1.58,1.46
g_0,1.25,1.09,1.73,1.29,1.08,0.98,1.2,1.12,1.42,1.43,1.52,1.98,1.53,1.3,1.38,1.45
e_0,1.76,1.2,1.23,1.42,1.08,0.99,1.51,1.47,1.47,1.35,1.45,1.1,1.91,1.53,1.55,1.9
