,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.46,0.7,0.44,0.38,0.24,0.24,0.24,0.25,0.29,0.25,0.16,0.23,0.19,0.14,0.22
d_1,0.52,0.95,0.44,0.37,0.38,0.3,0.32,0.26,0.45,0.22,0.31,0.28,0.25,0.23,0.22,0.18
e_1,0.46,0.43,0.94,0.52,0.41,0.3,0.3,0.29,0.28,0.48,0.26,0.31,0.3,0.22,0.19,0.23
c_1,0.49,0.48,0.43,0.94,0.68,0.26,0.29,0.25,0.17,0.24,0.22,0.25,0.27,0.19,0.19,0.22
b_1,0.48,0.51,0.45,0.38,0.94,0.56,0.29,0.25,0.27,0.29,0.18,0.26,0.29,0.21,0.24,0.27
a_1,0.62,0.57,0.44,0.56,0.42,0.94,0.4,0.33,0.37,0.28,0.35,0.34,0.38,0.18,0.26,0.27
h_1,0.96,0.74,0.7,0.78,0.49,0.46,0.76,0.54,0.47,0.43,0.51,0.39,0.38,0.36,0.32,0.48
g_1,0.71,1.11,0.61,0.73,0.69,0.45,0.39,0.75,0.46,0.43,0.45,0.6,0.36,0.35,0.35,0.3
c_0,0.97,0.81,0.77,0.7,0.51,0.43,0.47,0.47,0.68,0.54,0.73,0.51,0.5,0.4,0.35,0.4
d_0,0.8,0.58,0.64,1.23,0.65,0.5,0.5,0.46,0.37,0.67,0.53,0.45,0.43,0.36,0.34,0.37
b_0,0.89,0.91,0.8,0.92,0.47,0.4,0.46,0.49,0.47,0.44,0.68,0.46,0.51,0.65,0.34,0.37
f_0,0.71,0.88,0.63,0.93,0.66,0.5,0.52,0.41,0.49,0.6,0.5,0.66,0.52,0.41,0.7,0.35
h_0,1.15,1.03,0.82,0.73,0.66,0.47,0.33,0.67,0.57,0.52,0.46,0.44,0.43,0.37,0.37,0.52
a_0,0.96,0.9,0.85,1.03,0.71,0.44,0.47,0.49,0.54,0.58,0.41,0.48,0.53,0.64,0.41,0.43
e_0,1.13,0.92,0.74,0.88,0.68,0.6,0.58,0.57,0.61,0.55,0.62,0.38,0.54,0.51,0.63,0.4
g_0,0.9,1.42,0.76,0.8,0.68,0.56,0.48,0.46,0.56,0.48,0.57,0.74,0.49,0.38,0.46,0.36
