,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.45,2.91,3.11,3.21,2.98,0.96,1.46,0.81,0.82,0.89,1.39,0.57,0.88,0.58,0.71
e_1,2.25,1.07,3.47,3.68,3.36,2.95,1.29,1.32,0.95,1.23,1.1,1.06,0.77,0.83,2.01,0.79
d_1,4.03,3.49,1.07,4.16,2.85,2.5,1.3,0.87,1.16,2.18,0.88,0.8,0.63,0.81,0.88,0.51
c_1,3.65,3.41,3.1,1.07,4.84,2.8,1.42,1.42,2.45,0.68,1.13,1.09,0.9,0.9,0.87,0.9
b_1,4.22,4.24,4.74,2.11,1.07,3.8,1.76,1.62,1.42,1.3,1.91,1.07,0.85,1.18,1.04,0.78
a_1,5.79,6.17,5.49,5.66,3.36,1.07,2.08,1.64,1.53,1.64,2.29,1.49,1.46,,1.58,1.27
h_1,8.04,7.48,7.79,6.83,5.45,5.86,1.38,2.68,2.1,2.2,1.96,2.19,3.54,1.88,1.92,1.65
g_1,8.76,7.24,9.75,9.07,7.91,8.91,2.91,1.38,2.94,2.46,2.21,3.01,1.64,1.87,2.46,3.29
c_0,10.75,8.93,5.76,14.63,7.98,7.95,3.85,2.67,1.62,2.94,3.12,2.68,2.16,2.25,2.08,1.88
d_0,9.08,5.56,15.4,12.06,8.43,8.33,3.6,3.77,2.52,1.65,2.22,2.46,2.16,2.76,2.82,1.99
b_0,9.81,9.22,9.92,10.39,12.59,9.52,3.91,3.7,1.57,3.12,1.61,2.4,2.71,3.17,3.23,2.34
f_0,17.99,9.57,11.59,10.02,7.96,9.35,3.92,2.75,2.99,2.9,2.87,1.62,2.22,2.42,2.99,1.41
h_0,13.78,12.67,13.0,11.48,12.2,10.0,5.39,4.62,3.66,3.44,2.79,3.62,4.32,2.7,2.7,3.02
a_0,12.75,11.5,12.66,12.92,11.74,,4.36,4.8,3.74,3.43,2.39,3.55,3.44,1.7,4.65,2.17
e_0,20.3,24.12,12.27,13.2,11.34,9.15,4.55,3.79,4.42,4.19,3.92,2.42,3.11,3.54,1.65,2.86
g_0,16.71,15.57,15.62,12.54,15.53,9.84,4.26,7.32,4.56,4.48,3.64,4.57,2.9,4.37,3.57,5.21
