,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.64,0.59,0.55,0.76,0.52,0.6,2.4,2.1,5.04,3.28,3.12,2.37,3.35,4.48,0.84,2.96
f_1,1.08,5.87,0.5,0.62,0.55,0.57,1.96,1.64,2.74,2.42,2.83,0.58,2.69,4.02,2.0,4.22
d_1,0.5,0.64,6.4,0.48,0.53,0.49,2.48,2.2,0.97,5.55,3.25,3.09,2.73,4.22,3.61,5.77
c_1,0.56,0.49,0.66,6.64,1.24,0.45,2.27,2.31,2.86,0.59,1.8,2.37,3.04,3.25,3.1,4.04
b_1,0.64,0.68,0.6,0.53,7.49,1.12,2.03,2.74,2.65,1.53,0.59,2.76,2.23,4.93,2.53,4.66
a_1,0.52,0.56,0.54,0.56,0.67,11.07,2.15,2.44,2.5,3.19,3.12,3.28,1.14,5.55,3.15,3.95
h_1,0.83,1.66,1.14,0.91,0.88,0.82,15.26,4.98,4.53,4.46,4.54,5.26,4.52,2.27,6.21,9.25
g_1,1.02,0.68,1.72,1.17,0.85,0.76,4.3,17.5,4.51,4.02,4.49,8.93,5.16,7.51,5.01,2.76
d_0,1.11,1.05,0.48,2.0,1.03,1.02,3.55,3.52,13.06,4.6,5.07,5.89,5.57,8.07,5.62,7.22
c_0,1.02,1.19,1.2,0.47,0.88,1.11,3.6,3.81,5.33,14.19,10.99,7.67,6.11,9.45,6.43,7.96
b_0,1.17,1.16,1.06,1.07,0.44,0.81,3.97,4.0,5.89,5.59,15.8,7.17,12.76,8.93,6.11,6.62
f_0,0.85,0.29,1.26,1.21,0.84,1.68,3.28,3.18,7.29,6.59,4.81,18.83,6.34,9.09,13.13,7.89
a_0,1.05,1.25,1.04,0.92,1.27,,3.81,3.37,4.53,6.53,5.99,7.34,18.14,8.95,6.88,8.69
h_0,0.95,1.56,1.14,1.18,0.78,1.03,1.14,3.25,3.87,4.51,4.83,4.72,5.1,2.06,6.21,9.7
e_0,0.51,1.16,1.11,1.34,0.96,1.45,4.72,4.1,5.33,5.2,5.36,6.63,4.68,7.57,22.99,7.06
g_0,0.8,1.25,1.96,1.08,0.74,0.56,3.39,1.49,4.4,5.47,5.12,8.83,4.94,8.47,6.02,3.14
