,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.28,0.9,0.74,0.94,0.76,0.67,1.54,1.52,1.74,2.84,1.5,1.68,1.44,2.16,0.94,1.9
f_1,1.49,2.37,0.72,0.82,0.67,0.57,1.45,1.24,1.44,1.67,0.92,1.53,1.44,1.84,0.98,1.53
d_1,0.82,0.85,2.4,0.61,0.72,0.7,1.74,1.48,3.16,1.14,1.77,2.07,1.49,1.94,1.51,2.18
c_1,0.78,0.77,0.85,2.54,1.44,0.62,1.57,1.35,0.8,1.56,1.59,1.02,1.39,1.91,1.41,1.72
b_1,0.77,0.93,0.84,0.86,2.64,1.18,1.46,1.49,1.47,1.43,1.61,0.78,0.94,2.11,1.23,1.63
a_1,1.01,0.89,0.88,0.78,0.62,3.08,1.7,1.47,1.77,1.85,1.7,1.68,1.0,2.52,1.78,2.03
h_1,0.87,1.29,0.92,0.93,0.79,0.69,3.22,1.95,1.74,1.74,1.48,2.0,1.45,1.71,1.55,2.68
g_1,0.88,0.86,1.34,0.93,0.87,0.57,1.36,3.43,1.89,1.59,2.51,1.67,1.35,2.43,1.45,1.74
c_0,0.91,1.11,1.11,0.75,0.63,0.67,1.87,1.59,3.12,1.76,1.88,3.57,1.93,2.58,2.02,2.43
d_0,0.87,0.99,0.68,1.59,0.92,0.46,1.6,1.62,1.33,2.95,1.62,1.67,1.65,2.53,1.79,1.72
f_0,0.78,0.77,1.09,0.97,0.77,0.72,1.8,1.61,2.19,2.16,3.33,1.97,1.73,2.33,3.56,2.46
b_0,0.93,1.1,0.98,1.04,0.54,0.53,1.76,1.64,1.97,2.07,2.01,3.35,3.21,2.45,1.69,2.68
a_0,0.91,1.15,1.04,0.96,0.73,0.45,1.96,1.72,1.9,1.8,1.9,1.71,3.6,2.39,1.49,2.2
h_0,0.92,1.34,1.02,0.77,0.76,0.74,1.22,2.05,1.84,1.66,1.61,1.57,1.51,1.9,1.25,2.8
e_0,0.81,1.14,0.97,0.85,0.97,0.55,1.83,1.51,1.94,1.81,2.02,2.12,1.93,2.25,3.46,2.32
g_0,0.87,0.82,1.5,0.87,0.76,0.65,1.58,1.21,1.83,1.63,2.63,2.04,1.73,2.19,1.78,1.81
