,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.42,1.04,1.65,1.24,1.09,1.0,1.92,1.73,2.46,2.6,2.32,1.55,2.99,2.31,2.68,2.11
d_1,1.21,2.48,1.08,0.96,1.15,1.08,2.36,2.12,3.79,1.69,2.85,2.93,3.03,2.82,3.27,2.72
e_1,1.11,1.12,2.48,1.29,1.08,1.01,2.16,2.49,2.52,4.03,2.57,2.81,3.42,2.37,3.15,1.56
c_1,1.06,1.16,1.03,2.64,1.8,1.16,2.03,1.92,1.39,2.01,1.8,2.37,2.64,2.12,2.94,2.63
b_1,1.1,1.15,1.03,1.06,2.74,1.86,2.22,2.15,2.0,2.36,1.55,2.2,2.91,2.14,2.92,2.83
a_1,1.34,1.29,1.3,1.0,0.87,3.1,2.3,2.45,2.25,2.38,3.32,2.16,3.17,2.08,3.03,1.9
h_1,1.65,1.22,1.13,1.25,1.17,1.19,3.94,2.72,2.67,2.46,2.8,2.65,2.34,2.65,3.86,2.61
g_1,1.33,1.72,1.04,1.15,1.18,1.05,2.33,4.34,2.52,2.03,2.74,3.51,3.51,3.09,2.49,2.84
c_0,1.38,1.23,1.13,1.07,1.03,1.33,2.59,2.7,3.96,2.82,4.81,3.11,3.62,3.13,3.16,3.26
d_0,1.3,0.81,1.03,2.17,1.29,1.26,2.4,3.33,2.14,4.0,3.05,2.9,3.47,2.55,3.55,3.16
b_0,1.29,1.46,1.11,1.59,0.79,0.92,2.47,2.54,2.26,2.87,4.36,2.76,3.92,5.35,3.48,3.08
f_0,1.04,1.3,1.12,1.36,1.23,1.38,2.74,2.58,2.58,2.87,2.92,4.43,3.5,2.78,3.47,5.36
h_0,1.44,1.29,1.18,1.4,1.19,1.26,1.98,2.78,2.77,2.88,2.86,2.73,2.43,2.8,4.34,2.85
a_0,1.41,1.25,1.24,1.44,1.14,0.62,2.4,2.5,2.69,3.08,2.25,3.12,4.05,5.05,3.8,3.25
g_0,1.28,1.6,1.08,1.42,1.23,1.2,2.43,2.03,3.11,2.91,2.64,3.74,3.09,2.86,2.66,2.91
e_0,1.29,1.41,1.09,1.35,1.17,1.5,2.69,2.58,2.62,2.38,2.96,2.43,3.6,3.0,3.6,5.17
