,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.17,0.97,0.45,0.84,0.76,0.68,0.23,0.2,0.16,0.33,0.19,0.16,0.1,0.14,0.4,0.19
d_1,1.02,0.16,0.88,0.93,0.72,0.73,0.22,0.56,0.13,0.13,0.15,0.12,0.11,0.06,0.14,0.13
f_1,0.68,0.81,0.16,0.78,0.68,0.7,0.18,0.14,0.16,0.25,0.15,0.42,0.08,0.17,0.17,0.17
c_1,0.61,0.99,0.7,0.16,0.95,0.76,0.21,0.09,0.32,0.19,0.16,0.17,0.12,0.1,0.15,0.13
b_1,0.77,0.8,1.09,0.38,0.13,1.23,0.23,0.17,0.19,0.24,0.35,0.13,0.14,0.12,0.16,0.14
a_1,1.08,0.79,0.64,1.01,0.4,0.09,0.25,0.18,0.16,0.34,0.24,0.17,0.13,0.12,0.14,0.35
h_1,0.63,0.67,0.71,0.57,0.7,0.49,0.06,0.14,0.14,0.17,0.11,0.11,0.16,0.08,0.12,0.11
d_0,0.3,1.3,0.71,0.74,0.71,0.58,0.19,0.07,0.14,0.2,0.15,0.12,0.09,0.1,0.15,0.11
c_0,0.63,0.31,0.71,1.35,0.71,0.57,0.2,0.19,0.07,0.18,0.13,0.12,0.09,0.09,0.13,0.11
g_1,0.62,0.57,0.7,0.65,0.62,0.57,0.14,0.14,0.16,0.05,0.16,0.14,0.07,0.13,0.12,0.11
b_0,0.63,0.48,0.73,0.8,1.33,0.53,0.17,0.12,0.07,0.16,0.05,0.1,0.09,0.09,0.1,0.1
f_0,0.57,0.51,1.56,0.66,0.71,0.53,0.18,0.15,0.12,0.1,0.12,0.05,0.09,0.06,0.09,0.1
h_0,0.55,0.55,0.51,0.65,0.61,0.64,0.28,0.13,0.12,0.22,0.12,0.11,0.16,0.09,0.09,0.1
g_0,0.47,0.62,0.77,0.69,0.61,0.59,0.14,0.15,0.12,0.24,0.12,0.1,0.07,0.17,0.11,0.1
e_0,1.15,0.39,0.8,0.61,0.86,0.64,0.16,0.16,0.12,0.13,0.14,0.07,0.1,0.09,0.04,0.09
a_0,0.57,0.52,0.71,0.71,0.72,1.12,0.17,0.12,0.12,0.18,0.07,0.13,0.1,0.1,0.14,0.04
