,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,95.71,95.95,105.08,114.37,182.41,365.73,13216.58,24509.0,24448.43,32676.17,33388.41,49171.2,100254.78,155655.34,171294.36,232841.21
e_1,63.89,99.76,127.63,104.23,190.06,438.56,14992.3,34326.12,25955.76,33855.02,43916.28,47558.37,116296.85,187254.4,203770.53,234822.47
c_1,58.83,49.92,142.8,98.79,256.27,415.83,11949.41,15972.22,21996.08,20695.6,32924.29,31450.56,90093.54,147992.16,155809.0,226811.93
d_1,55.13,59.73,74.57,151.5,156.03,369.93,12938.83,17317.0,21648.54,44642.85,38380.27,50401.31,89650.25,177397.19,160260.22,186566.44
b_1,47.27,45.72,71.22,78.62,230.71,525.42,10079.11,17988.07,17768.56,22445.43,26327.29,27448.59,76524.16,137914.51,132570.1,174407.15
a_1,38.17,36.35,61.5,63.32,93.21,457.3,7751.69,13530.33,13205.05,17148.84,20882.77,28464.82,60608.2,109021.18,106839.27,133350.56
h_1,16.57,14.73,24.78,24.58,38.97,84.24,4170.27,4480.59,6566.8,6639.19,8106.62,10751.02,19189.22,36633.69,39423.63,59858.45
d_0,12.42,10.67,30.02,19.66,39.6,81.31,2925.65,5217.88,4756.44,5215.53,8403.39,9290.0,20347.37,35402.58,37918.58,54109.16
g_1,11.74,11.23,17.5,27.71,32.63,69.63,2541.91,3842.45,6550.67,5985.2,9482.86,9296.1,18065.88,40594.55,42768.48,39327.53
c_0,11.69,12.3,17.41,18.55,29.89,69.05,2744.34,4113.38,4908.4,7097.79,7082.92,14000.36,19532.76,38372.71,41517.6,42929.26
f_0,9.38,8.69,18.84,18.98,33.89,77.94,2527.52,3863.58,4025.95,6164.65,8401.73,8633.66,17767.25,55548.09,33240.28,39600.39
b_0,10.42,10.54,18.59,17.06,26.03,54.3,2277.57,3244.5,4149.87,4177.07,6046.63,9589.03,16803.82,31528.18,47218.57,40802.2
h_0,9.77,8.0,12.69,13.9,23.05,51.38,1670.59,2853.32,3578.88,3790.06,4912.38,6265.01,12474.48,24918.16,25277.6,34538.65
e_0,6.1,5.54,11.3,11.35,21.32,40.83,1593.53,2298.83,2379.82,2986.99,3547.97,4970.59,11501.46,27443.85,22082.28,25449.42
a_0,7.21,6.41,11.63,10.44,18.81,33.54,1427.73,2119.12,2258.29,2831.2,3759.12,3925.13,10898.84,19163.26,27057.04,25251.53
g_0,5.27,6.07,10.2,13.98,19.05,40.7,1260.91,1896.98,2258.0,3561.96,5016.12,5050.88,9697.05,23191.37,17647.58,21666.13
