,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.52,0.57,0.67,0.87,0.62,0.57,0.88,0.73,0.78,1.32,0.91,0.82,0.84,0.63,0.44,0.7
d_1,0.77,1.53,0.67,0.58,0.65,0.55,0.81,0.63,1.32,0.46,0.84,0.79,0.84,0.7,0.74,0.76
f_1,1.06,0.77,1.53,0.59,0.58,0.46,0.77,0.79,0.72,0.79,0.37,0.71,0.67,0.74,0.46,0.82
c_1,0.54,0.7,0.75,1.57,1.09,0.5,0.76,0.76,0.47,0.7,0.79,0.51,0.9,0.61,0.7,0.88
b_1,0.7,0.64,0.71,0.58,1.59,1.06,0.83,0.73,0.67,0.77,0.77,0.39,1.0,0.61,0.78,0.81
a_1,0.73,0.78,0.82,0.88,0.59,1.72,0.8,0.89,0.79,0.9,0.78,1.12,0.84,0.47,0.83,0.86
h_1,0.78,0.96,1.14,0.97,0.83,0.69,1.69,1.1,0.99,0.91,1.0,1.06,0.96,0.84,0.87,1.31
g_1,0.89,1.44,0.81,0.65,0.81,0.8,1.07,1.79,1.2,0.91,1.3,1.09,0.88,0.88,0.97,0.8
c_0,0.94,0.93,1.11,0.68,0.86,0.78,1.21,1.0,1.63,1.14,1.1,1.78,1.13,1.2,0.94,1.17
d_0,0.81,0.57,0.97,1.63,0.96,0.59,1.23,0.9,0.75,1.64,0.94,1.08,1.26,0.98,0.87,1.04
f_0,0.81,1.03,0.92,0.85,0.96,0.75,1.28,1.05,1.2,1.13,1.7,1.16,1.34,1.0,1.96,1.07
b_0,0.86,1.24,1.1,1.12,0.58,0.56,1.13,1.07,0.92,1.03,1.01,1.69,1.45,1.79,1.0,1.06
h_0,0.87,1.09,1.4,1.07,0.8,0.92,0.74,1.47,1.14,1.19,1.02,1.02,1.02,1.19,0.94,1.52
a_0,1.08,1.03,1.16,1.01,0.95,0.48,1.34,1.08,1.04,1.06,1.25,0.97,1.41,1.76,1.07,1.28
e_0,0.65,1.14,1.4,0.92,0.86,0.88,1.32,1.09,1.06,1.06,0.86,1.14,1.51,0.95,1.74,1.19
g_0,0.86,1.47,0.89,1.1,0.93,0.89,1.05,0.77,1.06,1.0,1.43,1.22,1.13,0.94,1.12,0.86
