,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,1.01,1.2,1.02,0.96,1.04,1.08,1.29,0.95,1.01,1.11,1.12,1.11,0.95,1.1
f_1,1.23,1.0,0.95,0.99,0.91,0.91,0.86,1.04,1.0,1.0,1.0,0.92,0.92,0.81,0.85,0.93
d_1,0.98,1.04,1.0,0.92,0.95,0.99,1.0,0.84,0.99,1.31,1.14,1.01,1.01,0.97,1.02,0.84
c_1,0.86,1.02,1.1,1.0,1.39,0.97,1.02,0.96,0.72,0.79,0.78,0.96,0.98,0.94,0.95,0.95
b_1,0.98,1.08,1.02,0.73,1.0,1.41,1.07,1.04,0.96,0.99,1.0,1.14,0.8,1.12,0.98,1.17
a_1,1.05,1.1,1.0,1.03,0.71,1.0,1.25,1.17,0.99,1.06,1.13,0.91,1.15,1.12,1.17,1.19
h_1,0.98,1.18,1.02,0.97,0.91,0.77,1.0,1.19,0.95,0.95,0.95,1.01,0.94,0.95,0.96,1.2
g_1,0.93,0.96,1.18,1.02,0.92,0.83,0.85,1.0,1.0,0.97,0.97,1.16,0.98,1.03,0.99,0.89
d_0,0.75,0.99,1.0,1.38,1.09,1.02,1.03,1.05,1.0,0.85,0.92,0.94,0.96,1.04,1.09,1.08
c_0,1.08,1.02,0.76,1.24,1.08,0.92,1.02,1.05,1.2,1.0,1.39,1.04,1.19,1.14,1.02,0.96
b_0,0.99,1.0,0.85,1.24,1.08,0.84,1.07,1.02,1.1,0.7,1.0,1.01,1.39,1.08,1.05,1.04
f_0,0.89,1.1,0.97,1.03,0.91,1.09,0.98,0.86,1.17,1.02,0.94,1.0,1.06,1.18,1.42,0.88
a_0,0.93,1.14,0.99,0.98,1.15,0.92,1.0,0.98,0.97,0.86,0.75,0.92,1.0,1.09,1.1,1.07
h_0,0.93,1.22,1.01,1.05,0.89,0.87,1.02,0.97,0.92,0.89,0.98,0.83,0.87,1.0,1.03,1.13
e_0,1.07,1.22,0.93,1.02,0.97,0.92,1.05,0.99,0.95,0.9,0.94,0.67,0.88,0.93,1.0,1.01
g_0,0.95,1.06,1.18,1.06,0.9,0.82,0.83,1.07,0.92,1.01,0.99,1.12,0.87,0.85,1.0,1.0
