,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.07,8.32,9.18,10.25,11.12,5.55,4.3,3.72,1.66,,3.34,3.07,2.34,2.59,1.77,1.62
f_1,9.86,1.07,12.4,9.97,7.89,8.41,2.41,4.56,2.69,2.58,,2.43,1.64,2.2,2.02,2.43
d_1,11.36,7.1,1.07,10.49,11.65,9.34,3.5,2.4,,2.98,2.37,2.66,2.64,2.85,2.43,1.4
e_1,8.75,6.87,12.02,1.07,9.91,8.55,3.86,3.26,3.11,3.13,2.99,2.73,2.26,,,1.9
b_1,6.12,11.66,10.06,10.46,1.07,10.58,5.39,4.28,4.1,3.41,2.37,,1.75,2.44,3.67,2.1
a_1,24.75,17.74,16.16,15.22,8.91,1.07,4.37,4.8,3.94,5.19,3.23,4.66,2.93,,,3.29
h_1,10.84,14.36,13.12,14.96,11.6,16.45,1.41,5.9,4.57,4.02,3.9,4.1,,2.01,2.7,3.68
g_1,13.85,13.7,15.71,17.97,15.07,14.59,4.4,1.41,4.78,4.93,5.57,4.51,2.7,5.29,3.92,
d_0,16.88,16.7,,8.77,11.18,12.6,5.16,5.18,1.73,5.07,5.1,3.25,2.75,,3.84,2.89
c_0,,15.91,9.29,21.29,15.07,13.64,5.28,5.01,4.6,1.71,3.83,4.89,3.41,,4.27,3.26
f_0,14.64,,16.75,15.93,16.61,14.84,6.19,4.16,4.49,4.99,1.73,6.94,3.6,4.65,,3.05
b_0,23.91,16.55,13.44,18.54,,16.1,6.4,6.2,5.87,3.01,3.67,1.76,4.24,3.58,,4.49
h_0,14.33,18.89,17.25,12.96,19.77,13.91,,7.59,6.36,4.96,6.79,3.5,,4.2,5.04,3.58
e_0,25.29,33.61,24.0,,18.69,,13.59,5.71,,,4.4,6.43,4.83,1.67,,5.24
a_0,31.23,26.4,23.5,,19.05,,10.16,8.79,6.61,6.03,,,3.65,,1.75,4.55
g_0,21.71,21.08,21.84,17.04,24.73,17.27,4.98,,5.55,5.15,5.8,5.18,4.21,4.95,3.95,
