,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.37,1.81,1.38,1.13,1.07,1.02,2.15,2.38,2.06,2.45,2.47,1.59,2.8,1.99,2.72,2.66
e_1,1.25,2.39,1.34,1.04,1.22,1.15,2.41,4.54,2.89,2.66,3.14,3.2,3.67,2.2,3.47,3.4
c_1,1.12,1.17,2.53,1.35,2.02,1.21,2.25,1.99,2.38,1.28,2.0,2.36,2.87,2.34,2.2,3.29
d_1,1.35,1.34,0.99,2.69,1.09,0.99,2.69,1.79,2.06,4.49,3.12,2.6,3.67,3.16,2.88,3.25
b_1,1.21,1.16,1.02,1.33,2.75,2.33,2.04,2.72,1.99,2.72,1.54,2.98,3.6,2.94,2.17,3.28
a_1,1.46,1.21,1.23,1.45,0.91,3.23,2.48,2.82,2.33,2.4,3.12,2.74,3.73,3.16,2.25,3.57
h_1,1.72,1.26,1.35,1.28,1.43,1.19,4.04,2.54,3.18,3.0,2.82,2.93,2.69,3.49,2.74,4.27
d_0,1.46,1.0,2.34,1.01,1.39,1.13,2.87,3.92,2.92,2.32,2.79,2.6,3.8,3.62,3.29,4.06
g_1,1.36,1.02,1.35,1.96,1.41,1.32,2.46,2.6,4.59,3.11,3.07,3.94,3.11,3.44,2.74,3.07
c_0,1.61,1.38,1.41,1.24,1.01,1.31,2.63,3.1,2.66,4.25,5.49,3.39,3.67,3.0,3.67,3.72
b_0,1.65,1.29,1.49,1.37,1.26,1.07,2.97,3.02,2.7,2.37,4.48,3.0,3.33,3.26,5.25,3.83
f_0,1.22,1.06,1.6,1.47,1.43,1.55,2.7,3.32,2.58,2.76,3.1,4.61,3.8,5.56,2.59,3.66
h_0,1.65,1.27,1.51,1.37,1.41,1.29,2.11,2.68,3.4,3.06,3.03,2.84,3.04,3.38,2.63,5.2
e_0,1.59,0.83,1.8,1.3,1.51,1.49,2.8,2.55,2.58,3.1,2.76,2.84,3.79,5.11,2.68,3.98
a_0,1.42,1.31,1.63,1.26,1.55,0.92,2.8,2.9,3.08,2.79,2.63,3.42,4.2,3.65,5.12,4.63
g_0,1.26,1.11,1.46,1.85,1.43,1.17,2.6,2.57,2.35,2.84,2.88,4.3,3.04,3.37,2.44,3.15
