,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.72,0.4,0.51,0.3,0.38,0.32,0.79,1.53,0.65,0.75,0.78,0.9,0.91,0.84,0.27,0.8
f_1,0.76,3.99,0.34,0.38,0.3,0.49,0.63,0.72,0.59,0.69,0.94,0.17,0.94,0.63,0.51,0.85
c_1,0.35,0.42,4.08,0.37,0.74,0.31,0.98,0.67,0.75,0.16,0.53,0.87,0.86,0.76,0.72,0.65
d_1,0.34,0.41,0.35,4.37,0.41,0.26,0.62,0.17,0.87,1.7,1.08,0.83,0.89,0.94,0.85,0.97
b_1,0.28,0.33,0.42,0.41,4.93,0.83,0.65,0.75,0.74,0.92,0.22,0.81,0.86,0.59,0.8,1.12
a_1,0.48,0.44,0.29,0.34,0.41,7.08,0.98,0.89,0.65,0.83,0.83,0.56,1.02,0.12,0.88,0.73
h_1,0.62,1.04,0.72,0.6,0.67,0.52,5.51,1.38,1.78,1.04,1.24,1.64,0.45,1.62,1.47,1.66
d_0,0.71,0.65,1.39,0.23,0.7,0.52,1.14,3.88,1.27,1.15,1.51,1.46,1.26,1.38,1.96,1.7
g_1,0.65,0.59,0.59,1.34,0.59,0.5,0.97,0.9,6.35,1.4,1.39,2.22,1.74,0.92,2.07,0.85
c_0,0.62,0.89,0.26,0.89,0.6,0.64,1.48,1.53,1.26,3.75,3.01,1.95,1.61,2.1,1.6,1.76
b_0,0.72,0.83,0.83,0.92,0.13,0.57,1.35,1.48,1.18,1.36,4.44,1.58,1.59,3.26,1.59,1.45
f_0,0.62,0.21,0.8,0.96,0.67,0.65,1.51,1.75,1.52,1.6,1.43,4.79,1.71,1.78,3.39,1.87
h_0,0.7,0.84,0.77,0.84,0.49,0.71,0.43,1.32,1.77,1.34,1.35,1.41,0.51,1.65,1.41,2.11
a_0,0.78,1.03,0.73,0.69,0.51,,1.34,1.36,1.22,1.9,1.56,1.56,1.42,6.27,1.64,1.17
e_0,0.3,0.84,0.87,0.86,0.61,0.88,1.28,1.45,1.7,0.81,1.34,1.32,1.79,1.37,6.99,1.38
g_0,0.6,0.65,0.66,1.23,0.54,0.73,1.2,1.1,,1.09,1.14,2.61,1.35,1.54,1.72,0.7
