,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.94,2.83,2.47,3.53,2.84,2.78,10.3,10.11,21.74,12.13,12.37,12.41,15.66,20.91,11.08,18.58
f_1,4.24,6.15,2.61,2.9,2.56,2.56,9.67,8.64,13.35,12.16,13.36,8.69,13.66,18.6,11.15,18.18
d_1,2.56,2.92,6.68,2.31,2.85,2.9,10.88,11.41,9.86,22.78,16.51,14.48,15.16,21.59,15.17,24.05
c_1,2.55,2.73,2.6,6.94,4.83,2.95,10.66,10.08,11.99,7.56,9.12,13.14,13.97,18.55,14.13,18.07
b_1,2.62,2.78,2.98,2.74,7.78,5.35,10.36,10.18,12.06,10.38,8.25,14.47,10.7,20.81,14.76,22.35
a_1,2.95,2.95,2.95,2.75,2.68,11.21,11.35,11.42,12.01,13.86,12.65,13.72,13.32,21.56,17.6,22.32
h_1,2.86,3.76,3.52,3.19,2.94,2.5,18.86,13.78,12.26,13.01,13.05,14.75,15.23,15.89,16.66,28.3
g_1,2.59,2.49,4.38,3.19,2.94,2.83,10.93,21.83,14.21,14.13,13.21,21.18,15.4,23.44,17.58,16.87
d_0,2.92,2.78,2.47,5.1,3.52,3.03,11.03,10.84,19.28,10.26,11.95,14.8,15.27,22.47,16.28,22.12
c_0,3.02,3.15,3.21,2.74,2.84,2.77,11.3,11.37,14.81,21.38,25.6,17.52,22.11,25.05,16.63,25.67
b_0,3.05,3.24,3.08,3.45,2.39,2.5,11.35,11.18,14.51,13.5,22.51,15.97,31.07,25.14,16.72,22.98
f_0,2.48,2.63,3.48,3.26,2.97,3.6,10.63,11.97,15.9,16.05,14.09,27.37,19.9,25.65,33.71,26.66
a_0,3.41,3.49,3.19,3.02,2.96,2.53,11.49,11.22,12.73,14.07,15.84,15.23,25.7,24.36,18.73,21.99
h_0,2.87,3.96,3.21,3.11,2.92,2.97,8.41,11.06,12.76,13.43,14.48,13.11,13.67,17.23,19.22,25.04
e_0,2.56,3.36,3.19,3.12,3.44,3.25,12.18,12.02,12.69,12.96,13.94,14.89,16.24,22.71,29.76,24.91
g_0,2.51,2.95,4.5,2.91,2.81,2.7,11.08,9.55,11.17,15.57,13.11,21.93,15.68,21.87,19.31,19.83
