,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,9.64,1.68,0.62,0.8,0.65,0.59,0.8,0.94,0.81,0.77,0.89,0.53,0.75,0.63,0.73,0.87
e_1,0.78,9.91,0.5,1.0,0.6,0.68,1.03,2.62,0.84,0.81,0.98,1.0,0.99,0.77,0.95,0.99
d_1,0.88,0.63,12.93,0.42,0.55,0.72,0.98,0.52,1.03,2.95,1.34,1.05,1.21,1.15,1.36,0.98
c_1,0.64,0.59,0.63,12.95,1.85,0.69,0.91,0.85,0.86,0.48,0.73,0.83,1.01,0.86,0.82,0.89
b_1,0.55,0.62,0.86,0.69,12.51,2.11,0.99,0.79,0.94,0.7,0.48,1.04,0.83,0.88,0.74,0.93
a_1,0.74,0.64,0.8,0.77,0.66,17.27,0.93,0.87,0.97,1.0,1.03,1.3,1.17,1.35,0.8,1.17
h_1,1.18,0.73,1.03,0.68,0.72,0.67,3.05,0.95,1.6,1.04,1.05,0.9,0.76,1.18,1.0,1.38
d_0,0.79,0.62,0.45,2.63,1.09,0.61,0.97,2.01,0.82,0.6,0.87,1.12,1.03,1.1,0.93,1.07
g_1,0.6,0.64,1.91,0.73,0.78,0.67,0.87,0.78,3.65,1.18,1.25,2.09,1.16,1.42,1.18,0.85
c_0,0.9,0.64,1.2,0.53,0.61,0.74,1.22,0.92,1.49,2.43,3.35,1.3,1.24,1.34,1.72,1.32
b_0,0.94,0.84,1.02,0.85,0.48,0.37,1.38,1.09,1.14,1.11,2.43,1.13,1.27,1.2,3.24,1.04
f_0,0.6,0.52,1.35,0.77,0.97,0.77,1.02,0.79,1.29,1.24,1.22,2.57,1.64,3.16,1.25,1.46
h_0,1.29,0.62,0.93,0.73,0.76,0.82,0.75,0.85,1.35,1.15,1.21,1.18,0.9,1.18,1.1,1.29
e_0,0.88,0.57,1.17,0.66,0.91,0.73,1.2,0.91,1.21,1.06,1.5,1.3,1.18,3.06,1.04,1.5
a_0,0.93,0.68,1.06,0.89,0.82,0.39,1.16,0.99,1.14,1.3,1.34,1.29,1.3,1.13,2.89,0.91
g_0,0.65,0.57,1.87,0.66,0.78,0.77,1.1,0.73,1.0,1.18,1.24,2.18,1.14,1.1,1.31,1.07
