,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,10.35,0.73,0.66,0.94,0.64,0.68,0.89,2.12,0.8,0.79,1.08,0.95,0.99,0.8,1.06,0.72
f_1,1.82,10.82,0.66,0.66,0.55,0.54,0.9,1.0,0.85,0.91,1.03,0.59,0.99,0.88,0.82,0.66
d_1,0.62,0.8,13.79,0.5,0.57,0.57,1.01,0.5,1.25,2.83,1.24,0.97,1.06,1.31,1.05,1.06
c_1,0.52,0.64,0.61,13.11,2.22,0.8,0.9,0.91,0.83,0.49,0.66,0.95,0.89,0.97,0.93,0.95
b_1,0.59,0.62,0.7,0.73,13.53,1.9,0.96,0.8,0.76,0.84,0.56,0.99,0.86,0.66,0.82,1.12
a_1,0.73,0.82,0.63,0.74,0.68,19.48,0.91,0.98,0.93,0.76,0.79,0.98,1.12,0.62,0.93,1.01
h_1,0.76,1.16,1.0,0.63,0.64,0.79,3.33,0.95,1.4,1.03,1.08,1.19,0.78,1.05,1.72,1.07
d_0,0.62,0.79,0.47,2.84,1.03,0.59,1.01,2.02,0.88,0.53,1.03,1.08,1.0,1.17,1.07,1.02
g_1,0.63,0.67,1.95,0.73,0.61,0.72,0.95,0.7,4.5,1.31,1.09,2.07,0.96,1.24,0.75,1.27
c_0,0.74,0.99,1.0,0.58,0.49,0.8,1.38,0.97,1.26,2.38,3.23,1.33,1.44,1.64,1.34,1.32
b_0,0.75,0.94,1.02,0.83,0.45,0.57,1.25,1.12,1.18,1.04,2.73,1.28,1.3,3.03,1.31,1.17
f_0,0.54,0.68,0.94,0.91,0.87,0.81,1.21,1.1,1.23,0.97,1.31,2.85,1.18,1.1,1.32,2.7
h_0,0.76,1.22,0.95,0.78,0.65,0.64,0.69,0.87,1.34,0.95,1.1,1.26,0.74,1.05,1.54,1.1
a_0,0.7,0.98,0.9,0.93,0.74,0.38,1.26,0.96,1.22,1.0,1.21,1.24,1.6,2.93,1.22,1.03
g_0,0.59,0.61,1.79,0.86,0.75,0.72,0.98,0.83,0.92,0.96,0.96,2.03,1.07,1.18,1.09,1.63
e_0,0.52,0.87,0.88,1.13,0.81,0.85,1.15,0.86,1.19,0.86,1.12,1.01,1.13,1.24,1.03,3.24
