,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.38,1.08,0.92,1.29,0.99,0.8,1.99,3.58,1.67,1.82,2.19,2.21,2.74,1.44,1.86,2.3
f_1,1.8,2.43,0.92,0.99,0.78,0.65,1.87,2.47,1.7,2.22,1.59,2.04,2.76,1.24,1.95,2.42
d_1,1.02,1.22,2.5,0.77,0.98,0.77,2.01,1.58,1.77,3.84,1.97,2.46,2.7,2.0,2.06,2.72
c_1,0.94,1.0,0.93,2.49,1.75,0.94,2.01,2.06,1.5,1.28,2.14,1.33,2.56,1.64,1.42,2.51
b_1,0.99,1.06,1.07,1.04,2.62,1.71,1.84,2.0,1.82,1.86,1.91,1.4,2.73,1.76,1.38,2.38
a_1,1.11,1.18,1.01,1.14,1.0,3.06,1.95,2.46,1.74,1.87,2.27,1.86,3.05,2.05,1.46,2.33
h_1,1.1,1.51,1.22,1.1,1.01,0.72,3.45,2.02,2.64,2.16,2.3,2.1,2.27,1.94,2.19,3.27
d_0,1.04,1.02,0.87,1.82,1.24,0.86,2.2,3.32,1.88,1.52,2.17,2.02,2.8,1.95,2.21,2.67
g_1,1.06,0.99,1.61,1.1,1.07,0.93,1.91,1.76,3.67,2.36,3.27,1.91,2.56,2.3,1.97,2.15
c_0,1.22,1.24,1.22,0.92,0.77,0.89,2.29,2.65,2.08,3.46,2.58,4.2,3.05,2.01,3.2,3.1
f_0,0.95,0.92,1.2,1.29,1.21,1.02,2.29,2.37,2.41,2.39,3.46,2.37,2.98,3.84,2.19,2.84
b_0,1.19,1.24,1.12,1.25,0.83,0.54,2.45,2.63,2.2,2.13,2.33,3.62,3.04,2.19,4.26,2.92
h_0,1.01,1.42,1.24,1.07,1.09,0.98,1.78,2.46,2.58,2.2,2.3,2.05,2.47,2.0,1.89,3.14
e_0,0.85,1.23,1.22,1.22,1.04,0.88,2.44,2.31,2.55,2.44,2.24,2.29,3.57,3.93,2.75,3.07
a_0,1.24,1.14,1.26,1.13,1.07,0.74,2.48,2.5,2.29,2.49,2.31,2.27,2.64,1.8,3.74,2.75
g_0,0.93,1.04,1.66,0.96,1.1,0.91,2.07,1.93,1.87,2.61,3.26,2.13,2.71,2.22,2.23,2.53
