,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.37,0.53,0.38,0.72,0.58,0.65,0.89,0.79,2.3,0.86,0.91,0.9,1.05,0.87,0.43,0.9
f_1,1.05,17.0,0.44,0.53,0.5,0.42,0.75,0.66,0.92,0.84,1.06,0.36,0.96,0.8,0.65,1.09
d_1,0.53,0.59,21.71,0.33,0.41,0.53,1.01,0.88,0.3,2.5,1.2,1.07,1.02,1.21,1.11,0.88
c_1,0.46,0.5,0.54,19.75,1.2,0.37,0.87,0.76,0.69,0.19,0.74,1.04,0.79,0.89,1.07,0.84
b_1,0.45,0.46,0.66,0.67,21.08,1.15,0.69,0.94,0.81,0.62,0.3,0.92,0.88,0.61,1.03,0.81
a_1,0.46,0.66,0.65,0.5,0.42,35.19,0.98,0.88,0.79,0.98,0.86,1.25,1.11,0.33,0.89,1.07
h_1,0.51,1.03,0.74,0.71,0.61,0.75,5.56,1.62,0.78,0.98,1.15,1.07,0.59,1.16,1.18,1.66
g_1,0.49,0.6,1.44,0.65,0.41,0.6,1.06,7.31,0.82,1.06,1.13,2.2,1.05,1.01,1.42,0.7
d_0,0.54,0.68,0.26,1.78,0.81,0.67,1.26,1.32,3.07,0.8,1.01,1.08,1.19,1.22,1.15,1.07
c_0,0.62,0.9,0.78,0.41,0.53,0.59,1.37,1.19,1.05,3.16,2.9,1.14,1.42,1.72,1.73,1.31
b_0,0.76,0.75,0.79,0.66,0.31,0.58,1.25,1.32,1.14,1.11,3.98,0.94,1.29,3.72,1.14,1.38
f_0,0.5,0.4,1.19,0.7,0.67,0.74,1.18,1.32,0.95,1.3,1.41,4.46,1.55,1.13,2.94,1.32
h_0,0.63,1.15,0.65,0.68,0.83,0.51,0.6,1.67,1.23,1.23,1.1,1.12,0.59,0.85,1.11,1.95
a_0,0.72,0.71,0.96,0.6,0.54,0.43,0.96,1.38,0.94,1.36,1.19,0.95,1.49,5.64,1.38,1.4
e_0,0.33,0.88,0.68,0.68,0.81,0.82,1.4,1.15,1.13,1.41,1.51,1.02,1.77,1.32,5.1,1.1
g_0,0.75,0.5,1.18,0.69,0.61,0.68,1.13,0.79,1.0,0.97,1.16,1.99,1.11,1.44,1.3,0.75
