,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.69,0.07,0.06,0.06,0.08,0.11,0.29,0.3,,0.73,0.33,0.36,0.66,0.42,0.62,0.4
f_1,0.06,5.82,0.14,0.09,0.07,0.08,0.28,0.25,0.33,0.36,0.36,,0.71,0.41,0.67,0.22
e_1,0.08,0.08,5.85,0.07,0.07,0.09,0.25,0.28,0.66,0.36,0.38,0.43,0.44,0.3,0.48,
c_1,0.06,0.06,0.07,7.02,0.13,0.06,0.36,0.38,0.45,,0.25,0.43,0.53,0.36,0.58,0.5
b_1,0.09,0.08,0.08,0.08,7.56,,0.24,0.26,0.37,0.33,,0.45,0.53,,0.6,0.41
a_1,0.08,0.09,0.08,0.07,,10.71,0.36,,0.43,0.37,0.28,0.4,0.52,,0.53,
h_1,0.27,0.37,0.27,0.33,0.28,0.21,14.49,1.74,1.48,1.35,1.04,1.22,,1.57,3.16,1.1
g_1,0.47,0.26,0.27,0.35,0.33,,0.97,16.76,1.22,1.51,1.47,1.73,2.19,,,
d_0,,0.37,0.37,0.67,0.41,0.34,1.86,1.03,11.53,1.73,2.05,2.01,3.19,1.64,2.91,2.56
c_0,0.4,0.32,0.25,,0.41,0.41,1.48,1.16,2.36,11.42,3.4,2.07,3.28,2.13,2.58,2.74
b_0,0.42,0.38,0.32,0.42,,0.28,1.56,1.69,1.93,1.82,13.96,1.12,3.28,2.69,2.68,1.6
f_0,0.42,,0.35,0.31,0.45,0.38,1.61,1.48,2.01,2.14,2.02,14.89,2.58,1.93,2.24,4.3
h_0,0.55,0.94,0.55,0.42,0.65,0.55,,2.43,2.78,3.54,2.37,2.69,,2.76,4.98,2.46
a_0,0.31,0.46,0.43,0.52,,,1.5,,2.24,1.86,2.11,1.81,3.45,19.36,2.71,
g_0,0.88,0.54,0.73,0.51,0.57,0.5,1.83,,2.21,2.99,2.24,5.01,4.02,1.86,,
e_0,0.46,0.33,,0.28,0.36,,1.7,,1.74,1.69,2.85,2.15,3.94,,,23.8
