,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.44,0.86,1.99,1.93,1.8,1.63,0.57,0.54,0.44,0.42,0.46,0.37,0.27,0.38,0.69,0.29
f_1,1.63,0.44,1.5,1.7,1.72,1.55,0.36,0.53,0.37,0.3,0.6,0.31,0.18,0.28,0.3,0.3
d_1,1.9,2.09,0.4,1.87,2.02,1.76,0.45,0.31,0.92,0.36,0.32,0.35,0.27,0.29,0.36,0.16
c_1,1.5,1.99,2.18,0.4,1.79,1.71,0.64,0.55,0.21,0.7,0.37,0.36,0.24,0.44,0.33,0.26
b_1,1.88,2.41,2.06,1.02,0.39,2.07,0.57,0.71,0.38,0.54,0.4,0.78,0.3,0.43,0.4,0.28
a_1,2.56,2.91,2.02,2.89,1.22,0.33,0.71,0.69,0.57,0.43,0.56,0.59,0.47,1.41,0.4,0.43
h_1,2.75,2.93,2.85,2.54,2.59,3.06,0.33,0.89,0.67,0.52,0.56,0.51,0.5,0.46,0.5,0.36
g_1,2.87,3.3,3.29,3.41,2.8,3.38,0.62,0.3,0.73,0.58,0.59,0.7,0.35,0.62,0.53,0.54
d_0,1.65,3.01,6.31,3.57,3.16,3.19,1.09,1.22,0.36,0.63,0.72,0.62,0.52,0.68,0.68,0.58
c_0,3.38,4.03,1.61,5.93,3.32,3.22,0.97,1.02,1.18,0.36,0.67,0.92,0.5,0.65,0.63,0.51
f_0,3.29,4.89,3.74,3.83,2.78,3.19,0.91,0.57,0.78,0.67,0.33,0.67,0.44,0.56,0.78,0.3
b_0,3.46,3.55,2.84,4.91,5.38,2.99,1.0,0.95,0.7,0.33,0.74,0.35,0.47,0.82,0.77,0.52
h_0,4.03,3.68,3.9,3.77,3.84,3.02,1.68,1.05,0.97,0.81,0.67,0.76,0.86,0.61,0.72,0.53
a_0,4.08,3.69,4.34,4.93,4.89,5.15,1.09,1.03,1.14,0.77,0.87,0.42,0.59,0.32,0.85,0.66
e_0,6.21,7.87,3.62,4.93,3.92,4.61,1.08,1.06,0.82,0.66,0.4,0.72,0.47,0.7,0.31,0.5
g_0,4.28,5.17,4.37,4.58,4.6,4.65,1.02,1.64,1.0,0.79,0.83,0.7,0.46,0.72,0.78,0.76
