,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.93,0.15,0.09,0.1,0.08,0.08,0.06,0.07,0.07,0.08,0.06,,0.04,0.06,,0.05
e_1,0.09,0.93,0.08,0.11,0.13,0.07,0.07,0.05,0.07,0.1,0.05,0.05,0.05,0.06,,0.05
d_1,0.12,0.12,0.93,0.1,0.09,0.07,0.07,0.05,0.1,,0.06,0.06,0.05,0.06,0.04,0.05
c_1,0.1,0.11,0.11,0.93,0.16,0.08,0.07,0.04,,0.07,0.05,0.05,0.04,0.07,0.04,0.06
b_1,0.13,0.09,0.11,0.09,0.93,0.1,0.07,0.05,0.06,0.06,,0.06,0.06,0.08,0.06,0.05
a_1,0.13,0.12,0.13,0.1,0.1,0.93,0.08,0.08,0.06,0.09,0.05,0.06,,0.07,,0.07
h_1,0.42,0.28,0.31,0.26,0.27,0.13,0.71,0.24,0.24,0.14,0.16,0.14,0.1,,0.09,0.18
g_1,0.27,0.28,0.47,0.37,0.26,0.16,0.15,0.71,0.14,0.16,0.17,0.27,0.14,0.15,0.14,
c_0,0.31,0.36,0.33,,0.32,0.28,0.22,0.25,0.59,0.23,0.35,0.19,0.17,0.18,0.11,0.13
d_0,0.34,0.33,,0.54,0.35,0.23,0.37,0.18,0.17,0.58,0.22,0.16,0.14,0.18,0.11,0.18
b_0,0.43,0.47,0.38,0.34,,0.23,0.22,0.22,0.2,0.21,0.58,0.21,0.24,0.21,0.14,0.17
f_0,,0.4,0.4,0.42,0.26,0.28,0.23,0.19,0.29,0.27,0.21,0.57,0.18,0.23,0.32,0.14
a_0,0.39,0.32,0.43,0.4,0.32,,0.29,0.18,0.25,0.27,0.24,0.18,0.58,0.3,,0.21
h_0,0.61,0.46,0.45,0.41,0.37,0.29,,0.44,0.34,0.33,0.31,0.17,0.19,,0.23,0.3
e_0,,,0.42,0.44,0.26,,0.33,0.25,0.31,0.34,0.25,0.16,,0.22,0.59,0.21
g_0,0.46,0.55,0.66,0.51,0.46,0.35,0.32,,0.37,0.23,0.35,0.35,0.2,0.21,0.21,
