,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,102.64,11.45,18.63,14.52,23.92,58.65,1287.39,5336.82,4061.43,4890.54,7850.41,7261.36,20900.45,22532.02,43444.7,
f_1,18.32,116.14,17.34,15.09,24.01,81.49,1726.87,3044.18,3176.23,5532.38,,7024.73,15822.44,16373.36,31588.8,30834.77
c_1,11.03,11.8,140.31,15.74,34.44,48.39,1447.49,2484.02,2969.32,,7279.94,7228.21,21969.33,16394.24,41665.03,26463.94
d_1,10.51,13.63,13.96,145.1,21.39,50.95,1556.51,,3118.12,6488.08,5746.73,6462.02,19197.74,17836.33,35470.85,32636.52
b_1,9.55,9.16,11.27,14.47,189.28,87.02,1347.89,1912.85,3464.09,3213.86,7090.98,,21862.66,,24982.06,25307.92
a_1,7.12,5.81,10.89,11.83,11.74,415.36,962.71,1678.88,2007.35,3603.06,4556.21,,12092.44,,20216.82,
h_1,5.15,7.21,8.79,9.13,10.69,28.85,2826.28,1619.29,2132.08,2168.06,3188.13,3840.12,,7982.81,19547.46,18541.18
d_0,4.57,5.98,12.14,,11.94,30.18,853.04,3632.31,1535.53,1889.07,3516.24,3714.56,7979.4,12068.57,15678.45,16754.33
g_1,4.35,4.21,6.55,8.61,8.33,30.93,563.78,1084.72,5390.01,1373.37,3091.26,3102.29,6012.02,,,
c_0,4.48,4.88,,6.35,10.52,16.55,718.75,1257.13,1337.6,5048.13,3154.4,6256.8,8842.11,8635.3,14358.71,10818.73
f_0,3.6,,6.5,6.04,5.8,21.51,740.19,1182.25,1360.96,1503.17,6725.83,3144.52,9742.26,8724.67,8924.47,23056.31
b_0,3.93,4.78,5.11,6.17,,,685.04,1066.26,1035.79,1207.61,2221.97,8082.57,7478.48,13561.75,11936.72,
h_0,3.42,6.87,4.66,6.14,7.61,16.67,,1062.04,1588.77,1724.89,1429.45,2786.46,,7716.42,14499.77,9760.56
a_0,2.65,4.13,3.52,4.39,,,492.74,866.53,,1086.24,1932.06,1528.22,5385.51,19213.22,7728.82,
g_0,2.79,3.65,3.43,6.39,8.45,13.91,404.61,729.24,,1338.77,2875.54,2046.45,3880.27,6707.83,,12654.25
e_0,,3.47,3.73,3.5,5.42,,319.31,744.74,,1386.1,1274.29,,4273.63,,6837.38,25919.84
