,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.05,1.81,1.59,1.65,1.37,1.2,0.5,0.69,0.47,0.5,0.62,0.48,0.32,0.36,0.43,0.42
e_1,1.19,1.05,1.86,1.93,1.77,1.58,0.7,0.68,0.48,0.59,0.65,0.5,0.38,0.57,0.46,0.4
d_1,1.96,1.89,1.04,1.67,1.65,1.37,0.67,0.45,0.59,0.61,0.46,0.52,0.37,0.45,0.38,0.26
c_1,1.95,1.58,2.38,1.06,2.33,1.61,0.74,0.77,0.64,0.35,0.52,0.51,0.38,0.53,0.5,0.4
b_1,2.51,2.15,1.96,1.2,1.06,1.84,0.75,0.73,0.8,0.63,0.58,0.7,0.58,0.56,0.54,0.46
a_1,3.19,3.08,2.93,2.73,1.86,1.06,1.22,1.11,0.94,1.0,0.87,1.05,0.71,0.78,0.93,0.69
h_1,5.3,4.59,4.93,4.39,4.53,3.41,1.27,1.83,1.31,1.32,1.46,1.27,1.22,1.14,1.27,1.1
g_1,5.46,5.18,5.89,4.94,5.49,4.83,1.85,1.28,1.53,1.63,1.74,1.42,0.93,1.4,1.43,1.18
c_0,6.44,6.79,3.76,8.3,4.88,4.4,2.51,2.18,1.42,2.61,1.72,2.17,1.33,1.55,1.55,1.18
d_0,6.01,4.07,8.27,7.2,6.1,5.46,2.76,2.48,1.58,1.46,1.78,1.69,1.34,2.01,1.9,1.54
f_0,7.59,5.32,6.44,6.3,5.84,5.88,2.33,1.58,1.83,1.96,1.4,1.71,1.54,2.44,1.62,0.91
b_0,6.43,5.62,5.67,7.85,7.02,4.7,2.61,2.3,1.17,2.01,1.73,1.43,1.51,1.66,1.82,1.32
h_0,8.08,8.03,8.72,8.38,6.91,6.55,3.68,3.34,2.27,2.44,2.27,2.15,2.2,1.95,1.81,1.71
e_0,12.39,9.3,7.52,8.85,8.08,5.97,3.56,2.85,2.2,2.28,1.35,2.24,2.0,1.47,2.04,1.43
a_0,9.67,8.16,8.67,9.85,8.6,7.66,2.94,2.99,2.23,2.78,2.22,1.53,2.17,2.15,1.51,1.8
g_0,10.03,9.7,11.07,10.11,8.84,7.89,2.75,3.88,2.85,2.47,2.93,2.7,1.94,2.48,2.1,2.3
