,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.02,1.34,0.72,0.69,0.7,0.55,0.84,0.74,0.8,0.91,0.81,0.64,0.99,1.04,0.81,0.63
e_1,0.81,2.1,0.68,0.98,0.68,0.71,0.94,0.84,0.88,1.63,0.99,0.96,0.96,1.0,0.99,0.66
d_1,0.86,0.69,2.15,0.57,0.68,0.8,0.99,1.11,1.71,0.67,1.16,0.96,1.02,0.98,1.01,0.96
c_1,0.74,0.62,0.74,2.4,1.35,0.65,0.86,0.81,0.5,0.81,0.65,1.02,0.86,0.74,0.95,1.01
b_1,0.7,0.75,0.78,0.74,2.47,1.39,1.0,0.89,0.94,0.9,0.64,0.9,1.08,0.73,0.88,0.95
a_1,0.87,0.72,0.85,0.83,0.69,3.34,0.96,0.97,0.89,1.0,1.19,1.01,1.04,0.67,1.0,1.21
h_1,1.06,0.66,1.03,0.81,0.66,0.72,2.08,1.37,1.04,0.95,1.25,1.02,0.82,1.09,1.5,1.26
g_1,0.69,0.72,1.29,0.83,0.75,0.7,0.98,2.39,1.14,0.78,1.19,1.65,1.01,1.12,0.88,1.16
c_0,0.88,0.79,0.93,0.66,0.67,0.9,1.14,1.2,1.74,1.03,2.14,1.38,1.22,1.43,1.37,1.22
d_0,0.79,0.79,0.62,1.58,0.84,0.73,0.94,1.14,0.66,1.62,1.02,1.06,0.89,0.92,0.99,1.28
b_0,0.92,0.75,0.94,0.86,0.66,0.67,1.16,1.26,1.11,1.03,1.94,1.24,1.21,2.4,1.36,1.28
f_0,0.69,0.63,0.89,0.95,0.86,0.96,1.32,1.18,1.1,1.05,1.26,1.99,1.15,1.23,1.25,2.57
h_0,1.06,0.8,0.93,0.78,0.78,0.8,0.84,1.48,1.03,0.97,1.04,1.14,0.74,1.29,1.46,0.86
a_0,0.87,0.76,1.07,0.8,0.81,0.49,1.23,1.18,1.07,0.94,1.19,1.14,1.26,2.46,1.31,1.24
g_0,0.8,0.65,1.25,0.8,0.75,0.84,1.18,0.99,1.06,0.87,1.14,1.6,1.09,1.18,0.79,1.47
e_0,0.91,0.49,0.93,1.0,0.79,0.83,1.17,1.21,1.16,0.85,1.1,1.18,1.16,1.29,1.16,2.62
