,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.14,1.51,1.97,3.85,22.7,29.64,39.81,31.0,52.77,44.48,80.82,107.63,108.51,136.11
f_1,1.26,1.0,0.98,1.3,1.63,3.51,17.76,26.98,29.51,30.34,40.78,43.22,61.49,84.26,78.32,131.59
d_1,0.86,1.01,1.0,1.13,1.44,2.72,18.95,18.99,25.32,36.56,36.53,46.24,64.11,91.37,84.44,88.2
c_1,0.67,0.77,0.88,1.0,1.93,2.4,16.35,21.48,16.62,20.54,31.33,27.45,58.57,65.31,74.05,91.83
b_1,0.49,0.61,0.68,0.52,1.0,2.88,12.43,16.33,16.53,22.54,24.5,24.37,42.83,47.28,53.11,68.27
a_1,0.27,0.28,0.36,0.42,0.35,1.0,6.84,7.82,9.67,10.17,12.23,14.34,22.95,25.53,32.79,37.35
h_1,0.04,0.06,0.05,0.06,0.08,0.15,1.0,1.59,1.42,1.5,1.99,2.09,3.77,4.3,4.41,6.54
g_1,0.03,0.04,0.05,0.05,0.06,0.13,0.62,1.0,1.06,1.36,1.93,1.57,2.35,3.6,3.76,5.1
d_0,0.02,0.03,0.04,0.06,0.06,0.1,0.72,0.91,1.0,0.91,1.27,1.46,2.93,3.32,3.16,4.14
c_0,0.03,0.03,0.03,0.05,0.04,0.1,0.69,0.79,1.17,1.0,1.45,1.89,2.22,3.01,2.9,4.01
f_0,0.02,0.03,0.03,0.03,0.04,0.08,0.5,0.51,0.77,0.73,1.0,1.14,1.75,2.21,3.66,2.43
b_0,0.02,0.02,0.02,0.04,0.04,0.07,0.43,0.63,0.7,0.57,0.91,1.0,1.73,2.97,1.87,2.67
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.26,0.43,0.35,0.48,0.55,0.58,1.0,1.2,1.1,1.91
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.27,0.31,0.35,0.45,0.35,0.84,1.0,1.01,1.27
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.27,0.31,0.35,0.29,0.52,0.9,1.0,1.0,1.2
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.19,0.24,0.27,0.43,0.37,0.54,0.85,0.92,1.0
