,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.11,3.09,3.84,2.56,2.93,2.59,0.87,0.93,0.37,0.82,0.67,0.65,0.47,0.69,0.61,0.42
f_1,3.22,1.1,2.88,3.16,3.09,2.6,0.66,1.02,0.7,0.6,0.94,0.55,0.34,0.54,0.54,0.54
d_1,3.54,2.96,1.1,3.67,3.2,3.53,0.82,0.55,1.08,0.59,0.52,0.57,0.42,0.57,0.5,0.29
e_1,3.47,1.98,3.65,1.1,3.47,3.47,1.05,1.14,0.72,0.76,0.84,0.66,0.52,1.38,0.69,0.59
b_1,1.98,4.29,3.88,3.51,1.11,3.85,1.25,1.16,0.81,1.08,0.75,1.27,0.58,0.71,0.8,0.56
a_1,5.95,6.84,6.15,6.14,2.7,1.13,1.49,2.02,1.28,1.39,1.04,1.65,0.86,1.3,1.86,1.01
h_1,11.45,11.04,10.42,12.89,11.68,10.55,1.62,2.78,2.65,2.08,2.14,2.11,1.96,1.8,1.83,1.71
g_1,13.76,14.09,12.41,13.09,15.13,11.69,2.81,1.65,3.11,2.44,2.78,2.65,1.46,2.47,2.54,2.53
d_0,15.47,14.27,24.29,8.01,16.01,13.28,4.76,4.32,2.0,3.0,3.84,2.76,2.13,3.5,3.23,2.38
c_0,35.89,16.05,8.44,17.55,16.91,14.79,4.41,4.35,5.41,1.95,3.18,3.12,2.27,3.47,3.41,2.04
f_0,17.67,31.81,16.55,17.18,17.39,14.79,4.95,3.05,3.96,3.64,2.11,3.98,2.47,3.53,4.72,1.72
b_0,30.54,17.87,12.69,18.64,25.86,18.24,5.04,5.19,4.27,1.97,3.53,2.14,2.6,4.11,3.54,2.28
h_0,22.6,27.09,22.97,23.07,22.75,21.45,9.06,7.44,5.6,4.74,5.02,4.27,4.51,4.25,4.66,3.18
e_0,24.17,41.77,21.78,35.47,25.22,18.42,6.98,5.27,5.89,4.6,2.61,4.77,3.63,2.28,5.33,2.97
a_0,29.01,24.76,24.82,25.57,29.96,31.48,6.82,8.02,5.33,4.4,4.84,2.81,3.32,4.85,2.41,3.58
g_0,29.25,31.23,24.82,25.98,27.26,28.29,5.92,9.38,5.95,5.23,5.48,5.0,2.9,5.4,5.18,4.51
