,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.37,1.03,1.66,1.39,3.84,16.17,30.39,29.04,38.93,40.19,40.47,77.9,65.19,93.21,144.66
e_1,0.73,1.0,1.03,1.77,1.56,4.08,18.81,27.5,25.83,47.79,46.37,38.53,78.55,85.65,93.17,131.89
d_1,0.97,0.98,1.0,1.31,1.52,3.79,17.32,20.05,37.36,31.49,34.83,38.77,72.98,83.01,77.89,95.89
c_1,0.62,0.56,0.76,1.0,1.47,2.74,11.93,18.64,16.19,16.88,23.03,21.4,46.68,52.55,57.45,81.12
b_1,0.72,0.65,0.66,0.68,1.0,3.35,11.4,16.41,22.38,23.02,24.52,24.17,60.6,53.35,56.91,83.09
a_1,0.25,0.24,0.26,0.37,0.3,1.0,5.06,6.22,7.85,9.19,8.79,11.05,20.64,22.29,23.57,33.58
h_1,0.06,0.05,0.06,0.08,0.09,0.2,1.0,1.63,1.43,1.77,2.17,1.92,4.31,4.19,5.47,8.43
g_1,0.03,0.04,0.05,0.05,0.06,0.16,0.65,1.0,1.06,1.31,1.79,1.36,2.5,3.14,3.52,4.67
c_0,0.03,0.04,0.03,0.06,0.04,0.13,0.68,0.95,1.0,1.64,1.35,1.91,2.82,2.93,3.5,4.3
d_0,0.03,0.02,0.03,0.06,0.04,0.11,0.56,0.77,0.61,1.0,1.01,0.99,2.17,2.7,2.76,4.12
f_0,0.02,0.02,0.03,0.04,0.04,0.12,0.46,0.56,0.77,0.97,1.0,0.98,2.31,3.61,2.55,2.71
b_0,0.02,0.02,0.03,0.05,0.04,0.09,0.51,0.72,0.55,1.0,0.97,1.0,2.28,2.31,3.35,3.46
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.23,0.41,0.35,0.45,0.45,0.45,1.0,0.93,1.04,1.72
e_0,0.02,0.01,0.01,0.02,0.02,0.05,0.25,0.31,0.33,0.38,0.29,0.45,1.05,1.0,1.12,1.42
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.19,0.28,0.3,0.4,0.4,0.31,1.0,0.9,1.0,1.5
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.22,0.23,0.24,0.36,0.31,0.6,0.7,0.68,1.0
