,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.42,0.75,1.43,1.44,1.35,1.28,0.75,0.82,0.81,0.67,0.74,0.64,0.52,0.61,1.06,0.58
f_1,1.58,0.42,1.25,1.25,1.26,1.08,0.56,0.63,0.61,0.47,1.14,0.5,0.4,0.54,0.46,0.57
d_1,1.37,1.34,0.39,1.39,1.37,1.39,0.62,0.44,1.12,0.77,0.49,0.56,0.48,0.47,0.57,0.32
c_1,1.17,1.3,1.38,0.38,1.48,1.34,0.8,0.72,0.39,1.16,0.53,0.58,0.5,0.85,0.53,0.46
b_1,1.24,1.5,1.35,0.79,0.37,1.71,0.63,0.94,0.51,0.79,0.64,1.08,0.46,0.59,0.58,0.49
a_1,1.4,1.65,1.15,1.49,0.78,0.31,0.68,0.71,0.68,0.52,0.68,0.73,0.69,1.76,0.51,0.6
h_1,0.89,1.05,0.96,0.9,0.94,1.14,0.27,0.64,0.41,0.38,0.43,0.38,0.5,0.38,0.41,0.38
g_1,0.9,1.08,1.1,1.09,0.83,0.97,0.38,0.24,0.42,0.37,0.43,0.46,0.31,0.44,0.36,0.58
d_0,0.54,1.03,1.69,1.32,0.97,1.0,0.61,0.67,0.27,0.36,0.47,0.49,0.38,0.5,0.45,0.43
c_0,1.02,1.2,0.5,2.43,0.92,0.96,0.54,0.61,0.62,0.26,0.46,0.66,0.46,0.48,0.48,0.41
f_0,0.89,1.59,1.07,1.11,0.83,0.98,0.53,0.33,0.41,0.42,0.25,0.43,0.39,0.34,0.64,0.26
b_0,0.89,1.09,0.87,1.13,1.95,0.8,0.57,0.49,0.41,0.21,0.45,0.25,0.32,0.62,0.42,0.37
h_0,0.91,1.06,1.02,0.98,1.01,0.67,0.95,0.53,0.48,0.44,0.33,0.41,0.58,0.31,0.41,0.38
a_0,0.82,0.96,1.07,1.01,1.08,,0.6,0.53,0.45,0.42,0.48,0.24,0.41,0.21,0.68,0.44
e_0,1.41,1.66,0.91,0.93,0.94,0.88,0.6,0.65,0.39,0.36,0.19,0.36,0.28,0.3,0.21,0.33
g_0,0.9,0.98,1.16,0.98,1.03,0.86,0.48,0.87,0.48,0.38,0.44,0.32,0.3,0.35,0.38,0.48
