,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.71,1.37,1.25,1.2,1.16,0.31,0.29,0.39,0.26,0.22,0.32,0.16,0.22,0.39,0.17
f_1,1.05,0.43,1.26,1.0,1.17,1.01,0.22,0.26,0.33,0.23,0.23,0.35,0.12,0.23,0.23,0.23
c_1,1.0,1.25,0.4,1.67,1.16,1.1,0.37,0.15,0.36,0.4,0.28,0.24,0.19,0.22,0.22,0.21
d_1,1.41,1.48,1.35,0.39,1.21,1.04,0.36,0.47,0.21,0.23,0.25,0.24,0.19,0.24,0.23,0.11
b_1,1.42,1.32,0.7,1.5,0.38,1.6,0.42,0.25,0.38,0.44,0.49,0.29,0.21,0.34,0.25,0.16
a_1,1.67,1.81,1.29,1.69,0.77,0.33,0.57,0.37,0.58,0.4,0.38,0.28,0.26,0.44,0.32,0.24
h_1,1.91,2.27,2.41,2.09,2.56,1.88,0.3,0.45,0.63,0.43,0.38,0.47,0.44,0.42,0.4,0.3
d_0,1.4,2.28,2.45,3.77,2.7,2.23,0.72,0.34,0.65,0.64,0.58,0.48,0.44,0.48,0.59,0.42
g_1,2.29,2.6,2.13,2.27,2.31,2.12,0.61,0.55,0.29,0.53,0.48,0.48,0.28,0.51,0.52,0.41
c_0,2.51,2.84,3.77,1.32,2.78,1.98,0.67,0.72,0.57,0.32,0.5,0.47,0.45,0.47,0.48,0.34
b_0,2.72,3.02,3.7,2.05,3.89,2.03,0.75,0.59,0.58,0.29,0.3,0.46,0.35,0.48,0.42,0.4
f_0,2.4,4.58,2.72,2.24,2.6,2.6,0.74,0.53,0.45,0.51,0.45,0.3,0.38,0.45,0.45,0.22
h_0,3.0,3.06,3.12,2.49,2.47,2.77,1.22,0.65,0.77,0.54,0.62,0.58,0.54,0.48,0.48,0.34
a_0,3.35,3.07,3.82,2.46,4.33,3.35,0.73,0.76,0.8,0.53,0.33,0.54,0.44,0.29,0.52,0.45
e_0,4.06,4.39,3.24,2.67,3.65,3.02,0.94,0.59,0.68,0.56,0.62,0.33,0.49,0.5,0.27,0.35
g_0,3.69,3.22,3.68,3.46,3.47,3.26,0.85,0.73,1.48,0.68,0.65,0.75,0.41,0.77,0.65,0.59
