,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,104.02,60.83,71.81,124.45,154.78,395.18,10161.15,27995.23,16456.01,22183.2,43144.61,47686.88,126417.97,139351.03,157914.69,206896.75
d_1,61.19,118.88,81.01,80.37,137.13,371.78,8408.87,15224.18,14797.92,31881.39,44643.84,46349.19,119811.0,116638.67,151556.24,192951.47
f_1,82.83,64.1,124.37,88.12,134.11,383.99,7104.83,16809.09,15271.66,18149.26,36258.12,29504.45,112746.52,120792.16,110537.79,165272.21
c_1,47.42,62.98,70.35,147.57,210.93,394.24,8084.37,13909.45,14133.67,12875.2,25108.48,37136.14,96706.89,102115.12,131722.26,170297.65
b_1,44.3,58.59,61.29,61.09,208.41,650.84,6610.21,12399.1,12877.73,17466.85,20877.65,31214.07,94576.2,66718.53,112178.28,140706.15
a_1,35.6,43.94,48.12,53.08,53.8,523.95,5069.89,9523.63,9933.21,12132.88,21854.63,23214.63,68796.06,56961.84,83325.55,106745.64
h_1,14.51,19.53,26.71,23.26,35.13,94.68,3130.24,3912.77,5037.2,5189.18,9946.78,9662.53,25620.88,32650.62,35245.79,54212.37
d_0,11.26,12.24,15.91,32.12,31.75,92.8,2103.08,4690.43,3492.95,3329.64,8453.34,7703.84,25858.03,27226.09,28035.01,38759.93
g_1,11.66,19.6,14.43,19.64,29.38,83.5,1667.94,3237.95,5298.1,4566.32,7632.47,13119.66,20531.81,24028.92,34031.98,36687.53
c_0,11.51,13.88,18.15,17.31,22.83,84.36,1810.64,4211.69,3351.34,5677.81,12814.93,8903.67,28198.16,28134.66,31377.08,35948.16
b_0,10.3,11.19,13.64,19.03,18.98,54.13,1565.21,3056.84,2951.97,3008.97,8517.1,7545.31,21320.98,34503.18,26015.64,30204.1
f_0,8.66,12.54,11.02,15.88,22.79,71.66,1469.11,3240.0,2499.8,3640.79,6240.91,9590.68,17713.45,22667.56,44264.54,30187.93
h_0,7.09,9.54,10.39,12.88,15.25,49.96,898.66,2027.5,2477.78,2482.95,4366.32,5165.51,12845.29,13593.89,16449.08,29201.16
a_0,7.16,9.05,8.65,12.29,18.99,33.51,980.01,2080.44,2209.79,2168.26,3627.69,4692.67,15532.06,19467.57,17522.38,19919.81
e_0,5.45,8.82,9.39,10.01,15.16,41.0,1079.56,2293.2,1763.8,2308.97,4638.47,3852.06,15567.45,14387.4,24377.61,22722.95
g_0,5.54,10.2,7.7,9.59,13.78,37.66,882.2,1761.97,1415.22,2649.22,4235.89,5559.61,11358.85,13370.81,15349.82,17267.32
