,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.09,0.96,0.89,0.97,1.03,0.96,0.83,1.03,1.3,1.05,1.01,1.06,1.1,0.84,1.01
f_1,0.92,1.0,1.32,1.06,0.92,0.85,0.85,1.04,0.99,0.89,0.84,0.83,0.81,0.88,1.15,0.69
e_1,1.05,0.76,1.0,1.12,1.04,1.02,1.15,1.03,1.38,1.07,1.09,1.08,0.99,1.0,0.98,0.95
c_1,1.13,0.94,0.89,1.0,1.33,0.88,1.04,1.01,0.72,0.71,0.79,1.11,1.11,0.91,0.9,1.0
b_1,1.03,1.1,0.96,0.76,1.0,1.44,0.97,0.97,0.96,0.98,1.05,1.07,1.01,1.09,1.14,1.04
a_1,0.97,1.16,0.97,1.13,0.7,1.0,1.22,1.28,1.06,1.01,1.18,1.0,1.17,1.24,1.22,1.15
h_1,1.03,1.17,0.86,0.99,1.05,0.85,1.0,1.22,0.95,0.83,0.89,0.9,1.1,0.95,1.18,1.05
g_1,1.15,0.97,0.92,0.98,1.1,0.82,0.83,1.0,0.89,1.0,0.98,1.19,0.89,0.92,0.82,1.04
d_0,1.0,1.01,0.71,1.48,1.01,0.95,1.02,1.11,1.0,0.89,1.08,0.83,1.09,0.83,1.02,1.18
c_0,0.76,1.12,0.94,1.36,0.96,0.98,1.21,1.03,1.19,1.0,1.47,1.0,1.11,1.06,0.93,1.16
b_0,0.97,1.17,0.94,1.27,0.96,0.88,1.12,0.98,0.89,0.69,1.0,0.91,1.03,1.26,1.08,0.88
f_0,0.96,1.13,0.91,0.93,0.97,1.03,1.04,0.81,1.1,1.02,1.09,1.0,1.03,1.12,0.84,1.75
h_0,0.99,1.21,1.05,0.88,0.99,0.81,0.91,1.11,0.91,0.93,0.97,0.96,1.0,0.92,1.15,0.83
a_0,0.92,1.14,1.04,1.0,1.01,0.77,1.05,1.11,1.16,0.97,0.8,0.85,1.08,1.0,1.05,0.94
g_0,1.19,0.89,0.95,1.1,0.9,0.77,0.81,1.15,0.87,1.03,0.99,1.21,0.86,0.99,1.0,1.08
e_0,1.02,1.35,1.06,0.98,1.0,0.95,0.94,0.95,0.83,0.86,1.22,0.62,1.17,1.03,0.92,1.0
