,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.7,0.94,1.02,0.98,0.59,0.46,0.55,0.48,0.4,0.38,0.4,0.24,0.29,,0.33
f_1,1.43,1.0,1.06,0.93,0.8,0.67,0.39,0.41,0.51,0.42,0.35,,0.37,0.27,0.27,0.33
d_1,1.07,0.95,1.0,1.01,0.79,0.75,0.55,,0.34,0.59,0.4,0.35,0.39,0.38,0.33,0.27
c_1,0.98,1.08,0.99,1.0,1.18,0.87,0.46,0.35,0.46,,0.41,0.35,0.34,0.42,0.36,0.37
b_1,1.02,1.24,1.27,0.85,1.0,1.13,0.57,0.54,0.5,0.47,,0.49,0.4,0.42,0.33,
a_1,1.7,1.5,1.34,1.16,0.89,1.0,0.66,0.52,,0.59,,0.59,,0.4,0.41,0.46
h_1,2.17,2.56,1.81,2.17,1.76,1.51,1.0,0.79,0.78,0.78,0.69,0.69,0.62,,0.75,0.67
d_0,1.82,2.46,,2.9,1.86,1.91,1.26,1.0,1.25,0.92,0.91,0.71,0.88,0.72,0.72,0.79
g_1,2.09,1.95,2.98,2.17,2.01,,1.28,0.8,1.0,1.01,0.89,1.08,0.73,0.84,0.85,
c_0,2.49,2.37,1.69,,2.13,1.69,1.28,1.08,0.99,1.0,1.27,0.89,0.77,0.86,0.77,0.83
b_0,2.62,2.87,2.5,2.44,,,1.46,1.1,1.12,0.79,1.0,1.1,,0.88,0.69,0.62
f_0,2.47,,2.87,2.87,2.03,1.7,1.45,1.42,0.93,1.12,0.91,1.0,0.9,1.08,1.28,0.64
a_0,4.17,2.68,2.56,2.9,2.5,,1.62,1.13,1.37,1.29,,1.11,1.0,1.03,0.9,
h_0,3.43,3.68,2.6,2.38,2.4,2.51,,1.4,1.19,1.16,1.14,0.93,0.97,,0.75,1.15
e_0,,3.72,3.04,2.75,3.08,2.42,1.34,1.38,1.17,1.3,1.45,0.78,1.11,1.33,1.0,1.05
g_0,3.07,2.99,3.74,2.67,,2.19,1.49,1.27,,1.21,1.62,1.57,,0.87,0.95,
