,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.04,1.64,1.39,1.51,1.46,1.09,0.46,0.55,0.43,0.46,0.41,0.46,0.28,0.4,0.33,0.33
e_1,1.13,1.04,1.52,1.8,1.55,1.37,0.65,0.58,0.48,0.55,0.5,0.55,0.35,0.44,0.38,0.54
d_1,1.69,1.66,1.04,1.37,1.44,1.29,0.51,0.44,0.54,0.53,0.47,0.44,0.34,0.36,0.26,0.37
c_1,1.79,1.39,2.03,1.04,1.8,1.32,0.65,0.6,0.57,0.32,0.45,0.45,0.39,0.41,0.37,0.41
b_1,1.93,1.8,1.92,1.27,1.05,1.7,0.8,0.7,0.66,0.52,0.57,0.51,0.43,0.44,0.4,0.46
a_1,2.92,2.4,2.3,2.38,1.49,1.06,0.95,0.93,0.66,0.77,0.82,0.62,0.54,0.76,0.49,0.62
h_1,4.98,4.2,4.5,4.35,3.73,3.2,1.24,1.73,1.28,1.27,1.28,1.16,1.07,1.09,0.94,1.03
g_1,5.58,5.04,5.12,4.98,4.54,3.81,1.47,1.25,1.47,1.28,1.34,1.42,0.89,1.09,1.05,1.09
c_0,5.88,5.21,3.6,6.53,4.98,4.67,2.0,1.69,1.31,1.94,1.71,1.43,1.23,1.41,1.12,1.25
d_0,5.36,3.79,6.13,6.5,5.44,4.43,2.16,2.35,1.49,1.4,1.72,1.5,1.33,1.45,1.32,1.6
b_0,6.69,5.54,4.82,6.98,6.37,4.19,2.02,1.9,1.22,1.68,1.33,1.56,1.32,1.7,1.17,1.47
f_0,7.54,5.86,6.14,5.87,5.8,4.67,2.4,1.73,1.78,1.91,1.61,1.36,1.31,1.51,1.0,1.56
h_0,7.89,7.58,7.0,7.35,6.05,5.93,3.11,2.75,2.0,2.34,2.0,2.06,1.84,1.76,1.64,1.64
a_0,7.85,7.22,8.23,9.0,8.07,6.86,2.78,2.84,2.08,2.44,1.51,2.16,1.55,1.42,1.67,1.81
g_0,8.93,8.06,8.87,7.89,7.72,6.73,2.62,3.31,2.3,2.4,2.28,2.42,1.51,2.03,1.92,2.17
e_0,11.07,8.82,8.19,8.1,7.57,5.78,2.8,2.91,2.5,2.12,2.33,1.48,2.29,2.19,1.49,1.44
