,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.9,0.42,0.19,0.19,0.15,0.11,0.19,0.21,0.17,0.13,0.15,0.08,0.15,0.07,0.1,0.14
e_1,0.25,0.89,0.28,0.18,0.13,0.12,0.18,0.39,0.17,0.14,0.2,0.16,0.21,0.07,0.13,0.14
c_1,0.25,0.18,0.89,0.17,0.37,0.13,0.18,0.2,0.08,0.13,0.1,0.16,0.19,0.13,0.09,0.12
d_1,0.3,0.24,0.16,0.9,0.16,0.09,0.18,0.11,0.34,0.14,0.18,0.16,0.23,0.11,0.12,0.16
b_1,0.23,0.21,0.2,0.19,0.89,0.28,0.17,0.18,0.17,0.12,0.06,0.15,0.18,0.12,0.07,0.13
a_1,0.24,0.19,0.19,0.22,0.19,0.88,0.23,0.22,0.2,0.21,0.19,0.19,0.17,0.12,0.05,0.14
h_1,0.39,0.27,0.22,0.3,0.21,0.14,0.57,0.22,0.22,0.23,0.2,0.21,0.14,0.16,0.13,0.24
d_0,0.27,0.29,0.48,0.13,0.26,0.14,0.21,0.46,0.19,0.17,0.2,0.2,0.25,0.17,0.13,0.19
c_0,0.31,0.28,0.16,0.29,0.17,0.15,0.27,0.28,0.46,0.19,0.44,0.21,0.26,0.14,0.17,0.21
g_1,0.26,0.25,0.3,0.37,0.2,0.16,0.2,0.22,0.19,0.56,0.19,0.29,0.22,0.15,0.13,0.09
b_0,0.35,0.31,0.27,0.23,0.12,0.09,0.28,0.26,0.26,0.22,0.47,0.18,0.3,0.15,0.34,0.19
f_0,0.21,0.22,0.3,0.3,0.22,0.18,0.24,0.28,0.21,0.2,0.23,0.46,0.23,0.35,0.16,0.2
h_0,0.41,0.25,0.25,0.26,0.18,0.15,0.15,0.28,0.26,0.24,0.24,0.18,0.17,0.12,0.14,0.24
e_0,0.29,0.17,0.28,0.32,0.25,0.15,0.26,0.26,0.25,0.18,0.2,0.24,0.22,0.37,0.17,0.24
a_0,0.37,0.29,0.25,0.31,0.23,0.05,0.21,0.35,0.26,0.15,0.21,0.19,0.3,0.18,0.39,0.2
g_0,0.24,0.24,0.23,0.46,0.2,0.14,0.21,0.2,0.25,0.14,0.21,0.32,0.21,0.16,0.15,0.13
