,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.47,1.12,0.59,0.62,0.54,0.56,0.88,0.81,0.81,0.83,0.41,1.02,0.86,0.99,0.74,0.82
e_1,0.69,2.52,0.58,0.73,0.75,0.52,0.79,0.92,1.69,0.98,1.08,1.02,1.04,0.95,0.54,1.03
d_1,0.71,0.6,2.66,0.56,0.53,0.58,0.87,0.93,0.46,1.83,1.07,1.08,1.11,1.06,1.13,1.02
c_1,0.63,0.62,0.66,2.96,1.16,0.49,0.83,0.86,0.82,0.25,0.99,0.64,0.82,0.88,1.02,0.86
b_1,0.65,0.63,0.65,0.66,3.25,1.33,1.05,0.83,1.06,0.7,0.83,0.39,0.95,0.6,0.91,0.84
a_1,0.76,0.61,0.72,0.57,0.62,4.72,1.04,0.93,0.66,0.95,0.95,0.95,1.08,0.33,0.92,0.96
h_1,1.1,0.66,0.88,0.84,0.71,0.87,2.71,1.38,1.08,0.81,0.96,1.06,0.66,1.07,1.14,1.49
g_1,0.78,0.7,1.17,0.85,0.67,0.77,1.11,2.92,0.93,1.08,1.59,1.06,0.96,1.23,1.14,0.72
d_0,0.75,0.77,0.4,1.63,0.86,0.93,1.06,1.2,2.14,0.69,1.32,0.97,1.06,1.26,0.98,1.09
c_0,0.92,0.81,0.98,0.56,0.59,0.68,1.21,1.08,1.0,2.26,1.13,2.6,1.26,1.57,1.32,1.34
f_0,0.5,0.62,1.0,0.93,0.89,0.85,1.22,1.11,1.13,1.36,2.54,1.01,1.22,0.99,2.55,1.5
b_0,0.9,0.64,1.0,0.97,0.44,0.56,1.12,1.14,1.27,1.15,1.29,2.69,1.44,2.59,1.19,1.4
h_0,1.19,0.79,0.91,0.74,0.6,0.73,0.71,1.59,1.01,1.08,1.03,1.33,0.77,1.24,0.97,1.66
a_0,0.81,0.69,1.16,0.86,0.85,0.36,1.15,1.1,1.0,1.03,1.22,1.09,1.34,3.07,1.35,1.61
e_0,0.9,0.43,0.85,0.85,0.88,0.9,1.45,0.96,1.44,1.15,1.32,1.42,1.51,1.34,3.15,1.03
g_0,0.67,0.68,1.32,0.83,0.79,0.72,0.97,0.83,0.86,1.42,1.93,1.26,1.08,1.33,1.45,0.8
