,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.36,0.23,0.35,0.29,0.15,0.28,0.5,0.21,0.25,0.26,0.24,0.3,0.24,0.12,0.22
f_1,0.57,0.91,0.29,0.25,0.22,0.17,0.25,0.29,0.19,0.27,0.24,0.15,0.24,0.16,0.13,0.2
d_1,0.31,0.43,0.91,0.22,0.22,0.19,0.29,0.22,0.21,0.49,0.32,0.21,0.31,0.21,0.19,0.24
c_1,0.29,0.29,0.27,0.9,0.51,0.19,0.25,0.3,0.2,0.12,0.19,0.22,0.28,0.17,0.17,0.22
b_1,0.26,0.3,0.3,0.31,0.9,0.4,0.27,0.27,0.23,0.25,0.14,0.27,0.27,0.14,0.17,0.26
a_1,0.36,0.35,0.33,0.3,0.23,0.88,0.3,0.31,0.25,0.24,0.24,0.27,0.32,0.11,0.21,0.27
h_1,0.37,0.51,0.37,0.29,0.29,0.19,0.6,0.3,0.31,0.29,0.26,0.26,0.2,0.19,0.19,0.32
d_0,0.33,0.36,0.24,0.59,0.35,0.19,0.29,0.52,0.21,0.18,0.25,0.25,0.33,0.19,0.19,0.27
g_1,0.31,0.34,0.52,0.26,0.27,0.2,0.29,0.25,0.61,0.31,0.24,0.37,0.3,0.2,0.25,0.19
c_0,0.37,0.44,0.4,0.26,0.2,0.19,0.37,0.38,0.25,0.49,0.51,0.26,0.33,0.27,0.22,0.33
b_0,0.39,0.43,0.36,0.31,0.2,0.17,0.35,0.34,0.28,0.32,0.52,0.23,0.35,0.42,0.23,0.31
f_0,0.32,0.26,0.34,0.34,0.35,0.26,0.35,0.36,0.28,0.3,0.29,0.52,0.35,0.2,0.44,0.28
h_0,0.39,0.49,0.34,0.33,0.32,0.22,0.2,0.32,0.3,0.26,0.23,0.22,0.21,0.16,0.18,0.33
a_0,0.41,0.39,0.35,0.33,0.29,0.14,0.35,0.38,0.22,0.27,0.32,0.28,0.38,0.44,0.21,0.26
e_0,0.3,0.45,0.38,0.32,0.33,0.19,0.31,0.32,0.26,0.31,0.26,0.27,0.37,0.18,0.41,0.33
g_0,0.35,0.37,0.52,0.31,0.27,0.2,0.28,0.28,0.16,0.31,0.28,0.36,0.29,0.22,0.2,0.2
