,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.17,0.08,0.08,0.06,0.05,0.08,0.04,0.09,0.07,0.08,0.01,0.07,0.04,0.04,0.05
e_1,0.09,0.88,0.08,0.09,0.07,0.04,0.07,0.05,0.16,0.07,0.07,0.06,0.07,0.05,0.01,0.04
d_1,0.09,0.08,0.88,0.06,0.08,0.03,0.08,0.09,0.01,0.15,0.07,0.08,0.08,0.06,0.05,0.06
c_1,0.09,0.08,0.08,0.88,0.13,0.04,0.09,0.05,0.08,0.02,0.06,0.06,0.08,0.05,0.05,0.05
b_1,0.1,0.09,0.08,0.08,0.87,0.1,0.07,0.07,0.07,0.06,0.02,0.06,0.05,0.04,0.04,0.05
a_1,0.11,0.08,0.08,0.1,0.05,0.87,0.07,0.06,0.1,0.09,0.08,0.06,0.09,0.02,0.04,0.04
h_1,0.23,0.15,0.16,0.11,0.1,0.1,0.53,0.12,0.13,0.12,0.11,0.1,0.06,0.08,0.06,0.12
g_1,0.14,0.11,0.23,0.12,0.12,0.09,0.14,0.53,0.11,0.11,0.13,0.16,0.16,0.09,0.06,0.03
d_0,0.18,0.15,0.05,0.27,0.11,0.09,0.11,0.1,0.35,0.11,0.13,0.12,0.17,0.09,0.08,0.1
c_0,0.22,0.17,0.18,0.05,0.09,0.07,0.12,0.09,0.13,0.4,0.26,0.13,0.12,0.11,0.07,0.12
b_0,0.19,0.13,0.17,0.15,0.04,0.09,0.15,0.11,0.12,0.18,0.39,0.11,0.14,0.22,0.09,0.1
f_0,0.08,0.16,0.17,0.14,0.14,0.11,0.16,0.11,0.14,0.16,0.14,0.39,0.18,0.07,0.14,0.12
h_0,0.24,0.14,0.15,0.16,0.11,0.06,0.05,0.14,0.13,0.12,0.13,0.09,0.06,0.1,0.11,0.13
a_0,0.15,0.17,0.17,0.19,0.13,,0.17,0.09,0.12,0.13,0.13,0.13,0.14,0.35,0.09,0.09
e_0,0.23,0.06,0.15,0.15,0.1,0.09,0.16,0.15,0.16,0.17,0.14,0.14,0.17,0.09,0.35,0.09
g_0,0.09,0.15,0.28,0.13,0.14,0.09,0.11,,0.11,0.13,0.12,0.16,0.09,0.07,0.07,0.04
