,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.01,0.11,0.1,0.11,0.11,0.17,0.17,0.22,0.36,0.31,0.25,,0.25,0.35,0.66,0.4
e_1,0.05,0.01,0.09,0.09,0.09,0.15,0.19,0.23,0.26,0.27,0.22,0.27,0.23,0.32,,0.37
c_1,0.06,0.07,0.01,0.07,0.1,0.11,0.13,0.1,0.16,,0.19,0.23,0.22,0.22,0.2,0.22
d_1,0.06,0.06,0.06,0.01,0.07,0.09,0.1,,0.13,0.13,0.15,0.16,0.17,0.3,0.19,0.18
b_1,0.03,0.05,0.03,0.04,,0.08,0.1,0.1,0.12,0.09,,0.11,0.13,0.13,0.12,0.16
a_1,0.01,0.02,0.01,0.02,0.01,,0.03,0.04,,0.04,0.04,0.05,0.03,,,
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
