,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.14,12.5,12.89,10.74,11.29,11.36,3.02,15.07,2.27,2.03,2.4,1.9,1.63,2.07,2.08,0.89
f_1,9.58,1.14,9.88,14.36,12.74,7.8,2.19,2.49,2.7,3.49,2.43,13.15,1.34,2.14,2.16,1.92
e_1,13.36,6.37,1.14,12.56,12.74,12.92,4.29,2.65,2.38,5.36,3.46,2.84,1.92,2.57,8.09,2.23
c_1,15.6,12.15,12.99,1.14,11.82,13.34,3.36,1.32,7.52,3.72,2.17,2.24,1.93,2.54,2.7,2.08
b_1,16.95,15.8,14.32,7.48,1.14,22.97,4.16,3.28,3.25,3.56,11.53,2.76,2.28,4.14,2.72,2.2
a_1,19.06,19.69,23.6,34.43,10.52,1.15,4.92,3.25,3.78,5.45,4.7,6.57,2.52,14.04,4.89,3.11
h_1,23.99,25.72,32.85,26.91,23.64,30.4,1.92,6.66,4.91,9.18,4.78,5.56,11.66,4.62,5.72,5.16
d_0,90.41,33.88,15.16,32.34,28.46,39.75,11.3,2.63,7.05,10.98,7.95,7.7,5.15,7.71,7.15,6.0
c_0,17.2,31.46,36.42,110.41,46.48,29.96,10.45,8.06,2.6,10.81,5.94,5.18,4.92,6.66,5.1,6.47
g_1,37.12,40.05,34.55,32.02,34.01,33.89,8.53,8.66,7.05,1.9,6.39,5.67,3.01,6.34,5.9,11.38
b_0,27.55,38.73,40.87,53.37,121.26,34.45,10.86,6.3,4.15,10.15,2.49,6.82,4.52,6.34,10.05,5.0
f_0,34.91,176.2,41.37,37.67,39.28,39.75,13.06,11.0,6.64,7.05,7.26,2.76,6.15,9.59,6.53,3.93
h_0,55.97,44.05,42.42,49.26,63.39,43.06,38.0,10.04,9.81,13.14,9.33,9.29,20.14,10.62,7.75,7.86
a_0,47.01,70.48,54.93,50.03,89.97,121.59,16.08,9.12,9.54,25.77,5.76,9.62,6.61,2.71,9.54,7.5
e_0,51.85,106.79,239.36,57.18,48.93,64.59,14.93,13.86,12.31,16.75,10.69,4.28,8.36,10.92,2.74,6.88
g_0,64.11,83.9,65.71,56.18,92.97,54.39,18.58,14.14,12.31,35.26,13.36,13.48,6.61,14.56,12.4,15.71
