,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.41,1.07,1.52,1.25,1.14,1.31,0.56,0.76,0.6,0.6,1.09,0.54,0.34,0.56,0.63,0.55
d_1,1.46,0.41,1.52,1.17,1.29,1.04,0.77,0.55,1.06,0.68,0.57,0.51,0.53,0.34,0.53,0.47
e_1,0.77,1.28,0.41,1.43,1.47,1.48,0.82,0.68,0.7,0.61,0.66,0.71,0.57,0.54,0.56,1.24
c_1,1.28,1.57,1.27,0.39,1.44,1.11,0.57,0.58,0.39,0.97,0.56,0.47,0.58,0.48,0.53,0.63
b_1,1.62,1.34,1.18,0.78,0.37,1.64,0.8,0.82,0.59,0.64,0.55,1.27,0.46,0.58,0.6,0.66
a_1,1.28,1.85,1.15,1.9,0.82,0.3,0.82,0.64,0.58,0.51,0.57,0.59,0.51,0.55,,0.52
h_1,1.08,0.95,0.85,1.01,0.86,0.89,0.26,0.68,0.39,0.4,0.39,0.49,0.64,0.41,0.35,0.45
g_1,1.13,0.95,0.97,1.15,0.99,0.9,0.38,0.23,0.41,0.4,0.42,0.49,0.27,0.47,0.42,0.36
d_0,0.92,1.49,0.59,1.17,1.1,0.97,0.56,0.61,0.27,0.42,0.43,0.38,0.41,0.34,0.46,0.46
c_0,1.17,0.61,0.91,2.27,0.92,1.0,0.53,0.49,0.53,0.26,0.44,0.57,0.38,0.36,0.57,0.43
f_0,2.01,0.87,0.93,1.1,0.98,0.79,0.51,0.43,0.6,0.35,0.25,0.41,0.33,0.27,0.39,0.51
b_0,1.04,0.84,0.82,1.21,1.74,0.87,0.45,0.49,0.45,0.26,0.41,0.25,0.42,0.32,0.53,0.37
h_0,1.13,0.86,0.78,0.94,1.06,0.95,0.87,0.58,0.49,0.37,0.48,0.39,0.63,0.45,0.41,0.38
g_0,0.94,1.01,0.85,0.99,0.88,1.02,0.38,1.15,0.45,0.43,0.46,0.48,0.3,0.62,0.39,0.38
a_0,0.86,0.93,1.07,0.94,1.06,,0.51,0.56,0.39,0.31,0.41,0.26,0.36,0.4,0.21,0.33
e_0,1.45,0.97,1.45,0.79,0.79,1.06,0.42,0.5,0.43,0.37,0.24,0.42,0.44,0.35,0.65,0.2
