,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.85,3.9,1.98,2.4,1.76,2.09,7.46,7.8,9.39,10.86,10.96,6.31,16.57,6.8,10.05,13.8
e_1,2.4,6.07,1.96,2.9,2.03,1.99,8.33,8.25,8.67,19.66,11.87,12.0,16.76,8.14,11.52,16.2
d_1,2.31,1.97,6.22,1.76,2.37,2.31,7.91,7.88,19.41,5.96,12.24,11.4,15.79,12.86,10.93,15.84
c_1,2.26,2.01,2.01,7.26,4.06,2.4,7.93,8.27,4.99,10.27,7.93,9.62,14.32,8.94,9.62,15.41
b_1,2.55,1.92,2.28,2.07,7.45,3.99,7.99,7.33,10.13,9.62,7.34,11.2,16.34,10.12,9.43,14.99
a_1,2.59,1.84,2.35,2.37,2.37,11.85,9.8,6.53,11.8,9.14,11.55,8.5,15.71,13.98,8.51,16.26
h_1,3.21,2.29,2.5,2.47,2.6,2.29,17.29,10.66,9.05,9.28,10.4,11.36,12.23,10.92,14.2,25.27
g_1,2.12,2.08,3.53,2.29,2.44,2.33,9.0,20.42,11.11,9.85,11.96,18.2,16.65,12.4,12.22,15.13
c_0,2.52,2.68,2.57,2.08,1.75,2.47,9.35,10.2,17.96,12.71,23.82,13.24,19.7,13.82,17.1,19.78
d_0,2.37,2.46,1.76,4.97,2.46,2.09,8.77,8.28,6.65,18.68,11.0,10.46,17.72,12.88,11.11,20.36
b_0,2.57,2.4,2.61,2.66,1.91,2.04,9.44,10.34,11.14,12.36,19.92,12.48,20.71,14.95,27.6,20.77
f_0,1.59,1.88,3.13,2.87,2.72,2.57,8.67,10.0,12.81,11.89,13.18,20.83,20.51,26.49,15.37,21.02
h_0,3.03,2.73,2.76,2.86,1.87,2.31,6.8,12.84,11.62,11.39,11.97,10.56,12.11,10.49,12.73,22.88
e_0,3.01,1.89,2.73,2.34,2.4,2.9,10.36,9.51,12.01,9.48,13.09,9.38,20.69,27.88,14.8,22.15
a_0,2.49,2.37,2.81,2.52,2.1,1.67,9.32,9.72,12.89,10.69,12.99,13.75,21.57,13.52,27.57,23.65
g_0,1.91,2.23,3.79,2.8,2.15,2.28,8.13,8.35,12.07,9.69,13.42,18.49,19.24,15.82,14.46,13.95
