,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.06,2.45,2.31,1.84,1.91,1.78,0.79,1.13,0.7,0.53,0.63,0.52,0.48,0.53,0.53,0.3
f_1,1.8,1.06,2.33,2.28,1.95,1.48,0.62,0.71,0.63,0.84,0.61,0.85,0.4,0.52,0.47,0.47
e_1,2.31,1.42,1.06,2.43,2.35,1.99,0.88,0.87,0.67,1.0,0.69,0.73,0.58,0.61,0.68,0.63
c_1,3.0,2.14,1.92,1.06,2.37,1.73,0.83,0.43,0.83,0.8,0.57,0.58,0.52,0.59,0.64,0.52
b_1,2.72,2.95,2.41,1.55,1.06,3.39,0.99,0.78,0.83,0.82,1.27,0.66,0.58,0.68,0.6,0.51
a_1,3.07,3.73,3.23,4.09,1.67,1.07,1.18,0.85,0.94,1.22,1.11,1.2,0.7,1.33,0.94,0.72
h_1,5.1,5.71,5.98,5.49,5.04,4.55,1.33,1.68,1.5,2.15,1.48,1.56,1.58,1.29,1.41,1.41
d_0,8.47,5.98,3.69,7.76,5.87,5.96,2.8,1.48,1.93,2.7,2.1,2.27,1.66,1.71,1.76,1.88
c_0,4.22,6.7,6.74,8.84,6.74,5.81,2.63,2.49,1.49,2.56,2.04,1.72,1.51,1.73,1.53,1.51
g_1,7.13,6.35,6.06,6.99,6.55,5.46,2.19,1.94,1.92,1.34,1.88,2.01,1.12,1.55,1.64,1.65
b_0,6.18,7.69,7.3,10.02,7.94,5.55,2.9,2.0,1.42,2.41,1.45,1.85,1.58,2.07,2.1,1.48
f_0,7.62,10.06,7.43,7.77,7.69,5.82,2.84,2.47,2.12,1.94,2.18,1.48,1.82,2.11,2.36,1.16
h_0,8.83,9.45,8.04,8.59,8.79,7.01,4.09,2.61,2.54,3.33,2.33,2.51,2.57,2.15,1.96,2.11
a_0,8.23,10.85,9.45,9.5,12.74,11.25,4.06,2.64,2.38,4.52,1.79,2.63,2.15,1.55,2.38,2.12
e_0,9.37,13.88,12.49,9.43,10.28,9.1,3.35,3.42,3.16,3.24,2.93,1.62,2.3,2.35,1.59,1.94
g_0,12.51,12.19,9.33,10.93,11.35,9.48,3.44,2.9,3.2,4.39,2.99,3.54,1.91,2.96,2.33,2.57
