,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.12,1.31,1.14,0.98,1.02,0.81,0.97,1.01,0.99,0.85,,0.82,0.83,0.95,1.14
d_1,0.89,1.0,1.0,1.13,0.95,0.94,0.92,0.84,1.36,,1.11,0.98,1.19,1.08,0.9,0.71
e_1,0.77,1.0,1.0,1.09,1.0,1.03,1.03,0.95,1.0,1.31,0.89,1.07,1.03,0.85,,1.44
c_1,0.88,0.88,0.92,1.0,1.56,1.1,0.87,1.06,,0.78,1.1,0.98,1.0,0.97,0.95,1.37
b_1,1.02,1.05,1.0,0.64,1.0,1.54,1.18,0.65,1.1,1.08,,1.31,0.96,1.16,0.97,0.85
a_1,0.98,1.07,0.97,0.91,0.65,1.0,1.29,1.27,0.9,1.0,1.1,1.22,1.21,,,
h_1,1.24,1.08,0.97,1.14,0.85,0.77,1.0,1.1,1.05,0.93,0.92,0.76,,0.9,1.0,1.08
g_1,1.03,1.19,1.05,0.94,1.54,0.79,0.91,1.0,0.98,0.78,0.94,1.12,0.83,1.21,0.78,
c_0,0.99,0.73,1.0,,0.91,1.11,0.95,1.02,1.0,1.13,1.27,0.89,1.2,1.37,1.11,0.84
d_0,1.01,,0.76,1.29,0.92,1.0,1.08,1.28,0.89,1.0,1.0,1.02,1.04,0.82,1.13,1.05
b_0,1.18,0.9,1.13,0.91,,0.91,1.09,1.06,0.79,1.0,1.0,1.12,0.86,1.54,0.94,0.87
f_0,,1.02,0.94,1.02,0.77,0.82,1.32,0.89,1.12,0.98,0.89,1.0,1.22,1.0,1.37,0.78
h_0,1.22,0.84,0.97,1.0,1.04,0.82,,1.21,0.83,0.96,1.16,0.82,,0.89,1.1,1.12
a_0,1.2,0.93,1.18,1.03,0.86,,1.11,0.83,0.73,1.22,0.65,1.0,1.12,1.0,,1.12
e_0,1.05,1.11,,1.05,1.04,,1.0,1.28,0.9,0.88,1.07,0.73,0.91,,1.0,
g_0,0.88,1.4,0.69,0.73,1.18,,0.92,,1.19,0.96,1.15,1.27,0.89,0.89,,
