,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.93,0.09,0.07,0.12,0.1,0.06,0.08,0.06,0.11,0.05,0.06,0.05,0.07,0.05,,0.05
f_1,0.18,0.93,0.11,0.11,0.08,0.08,0.06,0.05,0.06,0.07,,0.06,0.05,0.04,0.05,0.04
d_1,0.11,0.1,0.93,0.09,0.1,0.07,0.08,0.06,,0.11,0.05,0.07,0.08,0.04,0.04,0.03
c_1,0.1,0.09,0.12,0.93,0.15,0.07,0.09,0.05,0.07,,0.05,0.06,0.07,0.05,0.04,0.05
b_1,0.1,0.11,0.12,0.08,0.93,0.12,0.06,0.06,0.07,0.07,0.07,,0.07,0.04,0.04,0.05
a_1,0.14,0.1,0.14,0.1,0.09,0.93,0.09,0.07,0.07,0.08,0.07,0.07,0.06,,,0.04
h_1,0.28,0.38,0.26,0.26,0.31,0.19,0.71,0.19,0.19,0.13,0.11,0.17,,0.1,0.12,0.24
g_1,0.29,0.3,0.38,0.35,0.3,0.19,0.19,0.71,0.16,0.19,0.24,0.19,0.09,0.12,0.1,
d_0,0.28,0.46,,0.46,0.34,0.27,0.25,0.28,0.58,0.19,0.17,0.17,0.21,0.15,0.13,0.17
c_0,0.54,0.39,0.28,,0.25,0.24,0.31,0.2,0.24,0.56,0.24,0.33,0.19,0.16,0.12,0.14
f_0,0.34,,0.34,0.45,0.4,0.24,0.34,0.23,0.25,0.17,0.58,0.17,0.2,0.15,0.23,0.19
b_0,0.44,0.4,0.33,0.4,,0.18,0.23,0.18,0.25,0.21,0.2,0.58,0.25,0.23,,0.17
h_0,0.46,0.7,0.37,0.33,0.4,0.39,,0.43,0.35,0.27,0.29,0.27,,0.17,0.17,0.29
a_0,0.33,0.42,0.35,0.3,0.44,,0.3,0.29,0.22,0.24,0.21,0.2,0.28,0.6,,0.22
e_0,,0.38,0.61,0.35,0.35,,0.33,0.25,0.25,0.34,0.2,,0.28,,0.57,0.19
g_0,0.44,0.53,0.82,0.46,0.5,0.37,0.24,,0.31,0.34,0.41,0.27,0.27,0.17,0.22,
