,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.92,0.63,0.39,0.38,0.32,0.25,0.32,0.26,0.3,0.36,0.31,0.21,0.24,0.33,0.14,0.28
e_1,0.43,0.92,0.32,0.46,0.37,0.24,0.38,0.26,0.3,0.61,0.33,0.28,0.24,0.34,0.17,0.27
d_1,0.47,0.37,0.92,0.32,0.34,0.27,0.36,0.3,0.59,0.25,0.41,0.34,0.27,0.37,0.23,0.31
c_1,0.38,0.39,0.38,0.92,0.65,0.24,0.29,0.22,0.21,0.32,0.2,0.25,0.23,0.31,0.19,0.27
b_1,0.44,0.33,0.4,0.4,0.91,0.43,0.31,0.28,0.34,0.32,0.23,0.27,0.2,0.39,0.21,0.31
a_1,0.45,0.4,0.45,0.41,0.31,0.89,0.39,0.31,0.4,0.33,0.32,0.28,0.19,0.4,0.24,0.33
h_1,0.56,0.42,0.53,0.39,0.34,0.22,0.65,0.4,0.37,0.34,0.35,0.29,0.26,0.28,0.22,0.41
g_1,0.44,0.36,0.62,0.4,0.36,0.24,0.32,0.66,0.34,0.28,0.32,0.43,0.27,0.36,0.28,0.26
c_0,0.47,0.42,0.53,0.36,0.28,0.26,0.42,0.35,0.58,0.38,0.6,0.35,0.36,0.38,0.26,0.35
d_0,0.43,0.42,0.34,0.69,0.44,0.23,0.38,0.3,0.24,0.54,0.28,0.28,0.26,0.33,0.2,0.29
b_0,0.51,0.47,0.5,0.42,0.26,0.18,0.38,0.37,0.38,0.36,0.56,0.34,0.54,0.44,0.24,0.29
f_0,0.41,0.37,0.49,0.46,0.38,0.26,0.38,0.36,0.41,0.34,0.36,0.5,0.28,0.4,0.45,0.3
a_0,0.52,0.39,0.49,0.41,0.4,0.18,0.46,0.34,0.37,0.35,0.37,0.33,0.48,0.42,0.26,0.32
h_0,0.6,0.42,0.5,0.39,0.32,0.29,0.27,0.44,0.35,0.32,0.34,0.28,0.24,0.28,0.22,0.38
e_0,0.52,0.25,0.53,0.46,0.36,0.31,0.42,0.34,0.36,0.35,0.35,0.29,0.27,0.36,0.48,0.37
g_0,0.4,0.37,0.66,0.42,0.36,0.26,0.38,0.3,0.39,0.27,0.35,0.43,0.29,0.34,0.26,0.28
