,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.17,1.03,0.83,0.73,0.72,0.68,0.23,0.13,0.14,0.47,0.14,0.13,0.1,0.14,0.14,0.07
e_1,0.84,0.17,0.44,0.84,0.91,0.72,0.29,0.27,0.16,0.16,0.16,0.21,0.12,0.17,0.44,0.15
f_1,0.68,0.72,0.16,0.83,0.8,0.71,0.17,0.41,0.16,0.15,0.14,0.4,0.08,0.15,0.15,0.13
c_1,0.92,0.64,0.74,0.14,0.86,0.8,0.22,0.18,0.29,0.09,0.18,0.17,0.1,0.15,0.13,0.12
b_1,0.85,0.73,0.84,0.43,0.13,1.07,0.22,0.23,0.19,0.16,0.51,0.15,0.1,0.17,0.19,0.14
a_1,0.97,0.7,1.04,0.84,0.38,0.09,0.21,0.24,0.17,0.18,0.22,0.13,0.19,0.4,0.15,0.12
h_1,0.53,0.67,0.81,0.6,0.55,0.61,0.06,0.21,0.15,0.13,0.13,0.11,0.2,0.11,0.1,0.1
g_1,0.57,0.66,0.77,0.7,0.63,0.55,0.13,0.05,0.13,0.12,0.14,0.1,0.07,0.13,0.14,0.14
c_0,0.32,0.7,0.65,1.53,0.73,0.66,0.2,0.17,0.07,0.18,0.12,0.12,0.09,0.11,0.14,0.09
d_0,1.27,0.31,0.67,0.69,0.74,0.59,0.18,0.26,0.14,0.06,0.13,0.13,0.1,0.12,0.14,0.11
b_0,0.45,0.58,0.62,0.94,1.17,0.59,0.17,0.19,0.06,0.16,0.06,0.13,0.13,0.12,0.13,0.1
f_0,0.56,0.53,1.29,0.58,0.69,0.57,0.17,0.12,0.13,0.13,0.15,0.06,0.11,0.12,0.12,0.06
h_0,0.58,0.55,0.56,0.64,0.8,0.45,0.29,0.18,0.11,0.13,0.12,0.1,0.2,0.1,0.11,0.09
a_0,0.5,0.53,0.75,0.77,0.87,0.95,0.22,0.16,0.11,0.13,0.06,0.13,0.08,0.05,0.12,0.08
e_0,0.51,1.58,0.81,0.86,0.48,0.49,0.15,0.14,0.12,0.1,0.15,0.06,0.11,0.12,0.04,0.08
g_0,0.5,0.6,0.92,0.65,0.58,0.51,0.13,0.26,0.13,0.13,0.11,0.14,0.07,0.13,0.12,0.12
